Bref_ID,Sref_Cbb_ID
abdelal01,alaa-abdelnaby-1
abdulza01,
abdulka01,kareem-abdul-jabbar-1
abdulma02,mahmoud-abdul-rauf-1
abdulta01,
abdursh01,shareef-abdur-rahim-1
abernto01,tom-abernethy-1
ablefo01,
abramjo01,
abrinal01,
ackeral01,alex-acker-1
ackerdo01,
acresma01,mark-acres-1
actonbu01,
acyqu01,quincy-acy-1
adamsal01,alvan-adams-1
adamsdo01,
adamsge01,
adamsha01,hassan-adams-1
adamsjo01,jordan-adams-1
adamsmi01,michael-adams-1
adamsst01,steven-adams-1
addisra01,rafael-addison-1
adelmri01,
adrieje01,jeff-adrien-1
afflaar01,arron-afflalo-1
agerma01,maurice-ager-1
aguirma01,mark-aguirre-1
ahearbl01,blake-ahearn-1
aingeda01,danny-ainge-1
aitchma01,
ajincal01,
akinhe01,
akognjo01,josh-akognon-1
alabiso01,solomon-alabi-1
alarima01,mark-alarie-1
alcorga01,
aldemfu01,
aldrico01,cole-aldrich-1
aldrila01,lamarcus-aldridge-1
aleksch01,chuck-aleksinas-1
alexacl01,cliff-alexander-1
alexaco01,cory-alexander-1
alexaco02,courtney-alexander-1
alexaga01,
alexajo01,joe-alexander-1
alexavi01,victor-alexander-1
alforst01,steve-alford-1
allenbi01,
allenbo01,
allenje01,jerome-allen-1
allenla01,lavoy-allen-1
allenlu01,
allenma01,malik-allen-1
allenra01,randy-allen-1
allenra02,ray-allen-1
allento01,tony-allen-1
allenwi01,
allisod01,
allrela01,lance-allred-1
allumda01,darrell-allums-1
almonmo01,morris-almond-1
alstode01,derrick-alston-1
alstora01,rafer-alston-1
alumape01,peter-aluma-1
amaecjo01,john-amaechi-1
amayaas01,ashraf-amaya-1
aminual01,al-farouq-aminu-1
amundlo01,louis-amundson-1
anderbo01,
anderch01,
anderda03,
anderal01,alan-anderson-1
anderan01,
anderan02,antonio-anderson-1
andercl01,
anderda01,
anderda02,
anderde01,derek-anderson-1
anderdw01,dwight-anderson-1
anderer01,eric-anderson-1
andergr01,greg-anderson-1
anderjj01,jj-anderson-1
anderja01,james-anderson-3
anderje01,
anderju01,justin-anderson-1
anderke01,kenny-anderson-1
anderki01,
anderky01,kyle-anderson-3
andermi01,michael-anderson-1
anderni01,nick-anderson-1
anderri01,richard-anderson-1
anderro01,ron-anderson-1
anderry01,ryan-anderson-1
andersh01,shandon-anderson-1
anderwi01,willie-anderson-1
anderwa01,
andrima01,
anieldo01,
anslemi01,michael-ansley-1
anstech01,
antetgi01,
antetth01,
anthoca01,carmelo-anthony-1
anthogr01,greg-anthony-1
anthojo01,joel-anthony-1
anticpe01,
applike01,keith-appling-1
araujra01,rafael-araujo-1
arcenst01,
archiro01,robert-archibald-1
architi01,tiny-archibald-1
ardji01,
arenagi01,gilbert-arenas-1
arizatr01,trevor-ariza-1
arizipa01,paul-arizin-1
arlaujo01,joe-arlauckas-1
armstbj01,bj-armstrong-1
armstbo01,
armstbr01,brandon-armstrong-1
armstcu01,
armstda01,
armsthi01,hilton-armstrong-1
armstta01,
arnelje01,
arnetja01,
arnzebo01,
arroyca01,
arthuda01,darrell-arthur-1
arthujo01,
asikom01,
askewvi01,vincent-askew-1
askinke01,keith-askins-1
asmondo01,
athadi01,
atkinch01,chucky-atkins-1
attleal01,
aubucch01,
augmost01,stacey-augmon-1
augusdj01,dj-augustin-1
augusja01,james-augustine-1
austiis01,isaac-austin-1
austijo01,
austike01,ken-austin-1
aventan01,anthony-avent-1
averibi01,
averywi01,william-avery-1
awtrede01,dennis-awtrey-1
ayongu01,
pendeje02,jeff-pendergraph-1
azubuke01,kelenna-azubuike-1
babbch01,chris-babb-1
babbilu01,luke-babbitt-1
babicmi01,milos-babic-1
bachjo01,
baconhe01,
baechji01,
bagarda01,
baglejo01,john-bagley-1
baileca01,
bailegu01,gus-bailey-1
baileja01,james-bailey-1
baileth01,thurl-bailey-1
baileto01,toby-bailey-1
bairsca01,cameron-bairstow-1
bakerji01,
bakerla01,lamark-baker-1
bakerma01,maurice-baker-1
bakerno01,
bakerro01,ron-baker-1
bakervi01,vin-baker-1
baldwwa01,wade-baldwin-1
balkmre01,renaldo-balkman-1
ballce01,cedric-ball-1
ballagr01,greg-ballard-1
baltihe01,
banksge01,gene-banks-1
banksma01,marcus-banks-1
bankswa01,
bannike01,
bantomi01,mike-bantom-1
barbejo01,
barbole01,
bardost01,steve-bardo-1
bareajo01,jose-barea-1
bargnan01,
barkecl01,
barketo01,
barklch01,charles-barkley-1
barkler01,erick-barkley-1
barksdo01,
barneha02,harrison-barnes-1
barneha01,
barneji01,
barnema01,marvin-barnes-1
barnema02,matt-barnes-1
barnedi01,
barneji02,
barnena01,
barnhjo01,
barnhno01,
barnhle01,
barrjo01,
barrmi01,
barrmo01,
barrean01,andre-barrett-1
barreer01,
barremi01,
barroea01,earl-barron-1
barroda01,dana-barros-1
barrybr01,brent-barry-1
barrydr01,drew-barry-1
barryjo01,jon-barry-1
barryri01,rick-barry-1
barteed01,
bartovi01,
bartowi01,will-barton-1
basdeed01,eddie-basden-1
baskeje01,
bassbr01,brandon-bass-1
basseti01,tim-bassett-1
bastoma01,maceo-baston-1
bateeme01,
batesbi01,
batises01,
batismi01,mike-batiste-1
battito01,tony-battie-1
battish01,shane-battier-1
battljo01,john-battle-1
battlke01,kenny-battle-1
battoda01,dave-batton-1
battsll01,
batumni01,
baumjo01,
baumhfr01,
baxtelo01,lonny-baxter-1
bayleje01,jerryd-bayless-1
bayloel01,elgin-baylor-1
bayneho01,
baynear01,aron-baynes-1
bazarse01,
bazemke01,kent-bazemore-1
beached01,
bealbr01,bradley-beal-1
beardal01,
beardbu01,
beardra01,
beaslch01,
beaslje01,
beasljo01,
beaslma01,malik-beasley-1
beaslmi01,michael-beasley-1
beatyze01,
beaubro01,
beckby01,
beckco01,corey-beck-1
becker01,
beckear01,
beckemo01,
bedelbo01,
bedfowi01,william-bedford-1
beendha01,
behagro01,ron-behagen-1
behnkel01,
belinma01,
bellch01,charlie-bell-1
bellde01,
bellra01,
belltr01,troy-bell-1
bellwh01,
bellawa01,walt-bellamy-1
bembrde01,deandre-bembry-1
bemorir01,
benbole01,
bendedr01,
bendejo01,
benimje01,jerrelle-benimon-1
benjabe01,benoit-benjamin-1
benjaco01,corey-benjamin-1
bennean01,anthony-bennett-1
benneel01,elmer-bennett-1
bennema01,mario-bennett-1
benneme01,mel-bennett-1
bennesp01,
benneto01,
bennewi01,winston-bennett-1
benoida01,david-benoit-1
bensoke02,keith-benson-1
bensoke01,kent-benson-1
bentibe01,ben-bentil-1
bercege01,
bergega01,
berghla01,
berryri01,
berrywa01,walter-berry-1
bertada01,
beshode01,
besttr01,travis-best-1
beverpa01,patrick-beverley-1
bhullsi01,sim-bhullar-1
bialowe01,
biancal01,
biasaha01,
bibbyhe01,henry-bibby-1
bibbymi01,mike-bibby-1
biedeed01,
biedran01,
bielkdo01,
bigelbo01,
billili01,
billuch01,chauncey-billups-1
bingda01,dave-bing-1
biniojo01,joe-binion-1
birdje01,
birdla01,larry-bird-1
birdsot01,otis-birdsong-1
bishoga01,
biyombi01,
bjeline01,
blabuw01,uwe-blab-1
blackch01,
blackno01,norman-black-1
blackta01,tarik-black-1
blackto01,
blackro01,rolando-blackman-1
blackal01,alex-blackwell-1
blackco01,cory-blackwell-1
blackja01,james-blackwell-1
blackna01,nate-blackwell-1
blairde01,dejuan-blair-1
blakest01,steve-blake-1
blalowi01,will-blalock-1
blanege01,
blankla01,lance-blanks-1
blantri01,ricky-blanton-1
blatcan01,
blaylmo01,mookie-blaylock-1
bledser01,eric-bledsoe-1
blevile01,
blockjo01,
bloommi01,
blounco01,
blounma01,mark-blount-1
blueva01,vander-blue-1
blumera01,ray-blume-1
bobbne01,
bobbito01,tony-bobbitt-1
bockhbu01,
boerwto01,
boganke01,keith-bogans-1
bogdabo02,
boguemu01,muggsy-bogues-1
bogutan01,andrew-bogut-1
bohanet01,
bolma01,
bolgebi01,
bolomjo01,joel-bolomboy-1
bolstdo01,
bonsage01,
bondph01,
bondwa01,walter-bond-1
boneyde01,dexter-boney-1
bonharo01,
bonnean01,anthony-bonner-1
bonnema01,matt-bonner-1
bookebu01,
bookede01,devin-booker-2
bookeme01,melvin-booker-1
booketr01,trevor-booker-1
boonejo01,josh-boone-1
boonero01,ron-boone-1
boothca01,calvin-booth-1
boothke01,keith-booth-1
boozebo01,
boozeca01,carlos-boozer-1
borchcu01,curtis-borchardt-1
bornhja01,
borrela01,
borsaik01,
borylvi01,
boshch01,chris-bosh-1
bostiji01,
bostola01,lawrence-boston-1
bosweto01,tom-boswell-1
boumtru01,ruben-boumtje-boumtje-1
bovendo01,
bowdlca01,cal-bowdler-1
bowenbr01,bruce-bowen-1
bowenry01,ryan-bowen-1
bowento01,
bowiean01,anthony-bowie-1
bowiesa01,sam-bowie-1
bowlior01,
bowmair01,ira-bowman-1
bowmana01,
boycedo01,donnie-boyce-1
boydde01,
boydfr01,
boydke01,
boykiea01,earl-boykins-1
boykoha01,
boynewi01,winford-boynes-1
bozemce01,cedric-bozeman-1
bracest01,
brackcr01,craig-brackins-1
braddga01,
bradlal02,alex-bradley-1
bradlal01,
bradlav01,avery-bradley-1
bradlbi02,
bradlbi01,
bradlch01,charles-bradley-1
bradldu01,dudley-bradley-1
bradlji01,
bradljo01,
bradlmi01,michael-bradley-1
bradlsh01,shawn-bradley-1
bradtma01,
braggma01,marques-bragg-1
braggto01,torraye-braggs-1
bramlaj01,aj-bramlett-1
brancad01,adrian-branch-1
brandel01,elton-brand-1
brandte01,terrell-brandon-1
brannbo01,
bransbr01,brad-branson-1
bransje01,
brascji01,
bratzmi01,mike-bratz-1
braunca01,
breauti01,tim-breaux-1
bremejr01,jr-bremer-1
brennpe01,
brennto01,
breuera01,randy-breuer-1
breweco01,corey-brewer-1
breweja01,jamison-brewer-1
breweji01,jim-brewer-1
brewero01,ron-brewer-1
brewero02,ronnie-brewer-1
brezepr01,
brianfr01,frankie-brian-1
brickfr01,frank-brickowski-1
bridgju01,junior-bridgeman-1
bridgbi01,bill-bridges-1
brighal01,
brindau01,
briskjo01,
bristal01,allan-bristow-1
brittty01,
brittwa01,
brittmi01,mike-brittain-1
brittda01,dave-britton-1
brockjo01,jon-brockman-1
brogaji01,
brogdma01,malcolm-brogdon-1
brokaga01,
brookpr01,
brookcl01,
brookaa01,aaron-brooks-1
brookke01,
brookma01,marshon-brooks-1
brookmi01,
brooksc01,scott-brooks-1
brownan01,andre-brown-1
brownan02,anthony-brown-5
brownbo01,
brownbo02,bobby-brown-1
brownch01,chucky-brown-1
brownda02,damone-brown-1
brownda01,
brownde01,dee-brown-1
brownde03,dee-brown-2
brownde04,derrick-brown-1
brownde02,devin-brown-1
browner01,
brownfr01,fred-brown-1
brownge01,
brownge02,gerald-brown-2
brownha01,
brownja01,jabari-brown-1
brownja02,jaylen-brown-1
brownjo01,john-brown-1
brownke01,
brownkw01,
brownla01,
brownle01,
brownle02,lewis-brown-1
brownlo01,lorenzo-brown-1
brownma01,marcus-brown-1
brownma02,markel-brown-1
brownmi01,mike-brown-1
brownmy01,
brownpj01,pj-brown-1
brownra02,randy-brown-1
brownra01,raymond-brown-1
brownri01,rickey-brown-1
brownro01,
brownro02,roger-brown-1
brownsh01,shannon-brown-1
brownst01,
brownti01,tierre-brown-1
brownto01,tony-brown-1
brownji01,
