Player,From,To,Pos,Ht,Wt,Birth Date,College,Link
Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,"June 24, 1968",Duke University,/players/a/abdelal01.html
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,"April 7, 1946",Iowa State University,/players/a/abdulza01.html
Kareem Abdul-Jabbar*,1970,1989,C,7-2,225.0,"April 16, 1947","University of California, Los Angeles",/players/a/abdulka01.html
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,"March 9, 1969",Louisiana State University,/players/a/abdulma02.html
Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,"November 3, 1974",San Jose State University,/players/a/abdulta01.html
Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,"December 11, 1976",University of California,/players/a/abdursh01.html
Tom Abernethy,1977,1981,F,6-7,220.0,"May 6, 1954",Indiana University,/players/a/abernto01.html
Forest Able,1957,1957,G,6-3,180.0,"July 27, 1932",Western Kentucky University,/players/a/ablefo01.html
John Abramovic,1947,1948,F,6-3,195.0,"February 9, 1919",Salem International University,/players/a/abramjo01.html
Alex Abrines,2017,2017,G-F,6-6,190.0,"August 1, 1993",,/players/a/abrinal01.html
Alex Acker,2006,2009,G,6-5,185.0,"January 21, 1983",Pepperdine University,/players/a/ackeral01.html
Don Ackerman,1954,1954,G,6-0,183.0,"September 4, 1930",Long Island University,/players/a/ackerdo01.html
Mark Acres,1988,1993,F-C,6-11,220.0,"November 15, 1962",Oral Roberts University,/players/a/acresma01.html
Bud Acton,1968,1968,F,6-6,210.0,"January 11, 1942",Hillsdale College,/players/a/actonbu01.html
Quincy Acy,2013,2017,F,6-7,240.0,"October 6, 1990",Baylor University,/players/a/acyqu01.html
Alvan Adams,1976,1988,C-F,6-9,210.0,"July 19, 1954",University of Oklahoma,/players/a/adamsal01.html
Don Adams,1971,1977,F,6-6,210.0,"November 27, 1947",Northwestern University,/players/a/adamsdo01.html
George Adams,1973,1975,F-G,6-5,210.0,"May 15, 1949",Gardner-Webb University,/players/a/adamsge01.html
Hassan Adams,2007,2009,G,6-4,220.0,"June 20, 1984",University of Arizona,/players/a/adamsha01.html
Jordan Adams,2015,2016,G,6-5,209.0,"July 8, 1994","University of California, Los Angeles",/players/a/adamsjo01.html
Michael Adams,1986,1996,G,5-10,162.0,"January 19, 1963",Boston College,/players/a/adamsmi01.html
Steven Adams,2014,2017,C,7-0,255.0,"July 20, 1993",University of Pittsburgh,/players/a/adamsst01.html
Rafael Addison,1987,1997,F-G,6-7,215.0,"July 22, 1964",Syracuse University,/players/a/addisra01.html
Rick Adelman,1969,1975,G,6-1,175.0,"June 16, 1946",Loyola Marymount University,/players/a/adelmri01.html
Jeff Adrien,2011,2015,F,6-7,245.0,"February 10, 1986",University of Connecticut,/players/a/adrieje01.html
Arron Afflalo,2008,2017,G,6-5,210.0,"October 15, 1985","University of California, Los Angeles",/players/a/afflaar01.html
Maurice Ager,2007,2011,G,6-5,202.0,"February 9, 1984",Michigan State University,/players/a/agerma01.html
Mark Aguirre,1982,1994,F-G,6-6,232.0,"December 10, 1959",DePaul University,/players/a/aguirma01.html
Blake Ahearn,2008,2012,G,6-2,190.0,"May 27, 1984",Missouri State University,/players/a/ahearbl01.html
Danny Ainge,1982,1995,G,6-4,175.0,"March 17, 1959",Brigham Young University,/players/a/aingeda01.html
Matthew Aitch,1968,1968,F,6-7,230.0,"September 21, 1944",Michigan State University,/players/a/aitchma01.html
Alexis Ajinca,2009,2017,C,7-2,248.0,"May 6, 1988",,/players/a/ajincal01.html
Henry Akin,1967,1969,C-F,6-10,225.0,"July 31, 1944",Morehead State University,/players/a/akinhe01.html
Josh Akognon,2013,2013,G,5-11,185.0,"February 10, 1986","California State University, Fullerton",/players/a/akognjo01.html
Solomon Alabi,2011,2012,C,7-1,251.0,"March 21, 1988",Florida State University,/players/a/alabiso01.html
Mark Alarie,1987,1991,F,6-8,217.0,"December 11, 1963",Duke University,/players/a/alarima01.html
Gary Alcorn,1960,1961,C,6-9,225.0,"October 8, 1936","California State University, Fresno",/players/a/alcorga01.html
Furkan Aldemir,2015,2015,F-C,6-10,240.0,"August 9, 1991",,/players/a/aldemfu01.html
Cole Aldrich,2011,2017,C,6-11,250.0,"October 31, 1988",University of Kansas,/players/a/aldrico01.html
LaMarcus Aldridge,2007,2017,F-C,6-11,260.0,"July 19, 1985",University of Texas at Austin,/players/a/aldrila01.html
Chuck Aleksinas,1985,1985,C,6-11,260.0,"February 26, 1959",University of Connecticut,/players/a/aleksch01.html
Cliff Alexander,2016,2016,F,6-8,245.0,"November 16, 1995",University of Kansas,/players/a/alexacl01.html
Cory Alexander,1996,2005,G,6-1,185.0,"June 22, 1973",University of Virginia,/players/a/alexaco01.html
Courtney Alexander,2001,2003,G,6-5,205.0,"April 27, 1977","California State University, Fresno",/players/a/alexaco02.html
Gary Alexander,1994,1994,F,6-7,240.0,"November 1, 1969",University of South Florida,/players/a/alexaga01.html
Joe Alexander,2009,2010,F,6-8,230.0,"December 26, 1986",West Virginia University,/players/a/alexajo01.html
Victor Alexander,1992,2002,C-F,6-9,265.0,"August 31, 1969",Iowa State University,/players/a/alexavi01.html
Steve Alford,1988,1991,G,6-2,183.0,"November 23, 1964",Indiana University,/players/a/alforst01.html
Bill Allen,1968,1968,C-F,6-8,205.0,,New Mexico State University,/players/a/allenbi01.html
Bob Allen,1969,1969,F,6-9,205.0,"July 17, 1946",Marshall University,/players/a/allenbo01.html
Jerome Allen,1996,1997,G,6-4,184.0,"January 28, 1973",University of Pennsylvania,/players/a/allenje01.html
Lavoy Allen,2012,2017,F-C,6-9,260.0,"February 4, 1989",Temple University,/players/a/allenla01.html
Lucius Allen,1970,1979,G,6-2,175.0,"September 26, 1947","University of California, Los Angeles",/players/a/allenlu01.html
Malik Allen,2002,2011,F-C,6-10,255.0,"June 27, 1978",Villanova University,/players/a/allenma01.html
Randy Allen,1989,1990,F,6-8,220.0,"January 26, 1965",Florida State University,/players/a/allenra01.html
Ray Allen,1997,2014,G,6-5,205.0,"July 20, 1975",University of Connecticut,/players/a/allenra02.html
Tony Allen,2005,2017,G-F,6-4,213.0,"January 11, 1982",Oklahoma State University,/players/a/allento01.html
Willie Allen,1972,1972,F,6-6,230.0,"February 8, 1949",University of Miami,/players/a/allenwi01.html
Odis Allison,1972,1972,F,6-6,195.0,"October 2, 1949","University of Nevada, Las Vegas",/players/a/allisod01.html
Lance Allred,2008,2008,C,6-11,250.0,"February 2, 1981",Weber State University,/players/a/allrela01.html
Darrell Allums,1981,1981,F,6-9,220.0,"September 12, 1958","University of California, Los Angeles",/players/a/allumda01.html
Morris Almond,2008,2012,G,6-6,225.0,"February 2, 1985",Rice University,/players/a/almonmo01.html
Derrick Alston,1995,1997,F,6-11,225.0,"August 20, 1972",Duquesne University,/players/a/alstode01.html
Rafer Alston,2000,2010,G,6-2,171.0,"July 24, 1976","California State University, Fresno",/players/a/alstora01.html
Peter Aluma,1999,1999,C,6-10,260.0,"April 23, 1973",Liberty University,/players/a/alumape01.html
John Amaechi,1996,2003,C-F,6-10,270.0,"November 26, 1970",Pennsylvania State University,/players/a/amaecjo01.html
Ashraf Amaya,1996,1997,F,6-8,230.0,"November 23, 1971",Southern Illinois University,/players/a/amayaas01.html
Al-Farouq Aminu,2011,2017,F,6-9,220.0,"September 21, 1990",Wake Forest University,/players/a/aminual01.html
