Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,1968-06-24,Duke University,/players/a/abdelal01.html,abdelal01,0,82.0,http://www.sports-reference.com/cbb/players/alaa-abdelnaby-1.html
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,1946-04-07,Iowa State University,/players/a/abdulza01.html,abdulza01,0,81.0,"['http://www.basketball-reference.com/players/a/abdulza01.html', IndexError('list index out of range',)]"
Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,1947-04-16,"University of California, Los Angeles",/players/a/abdulka01.html,abdulka01,1,86.0,http://www.sports-reference.com/cbb/players/kareem-abdul-jabbar-1.html
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,1969-03-09,Louisiana State University,/players/a/abdulma02.html,abdulma02,0,73.0,http://www.sports-reference.com/cbb/players/mahmoud-abdul-rauf-1.html
Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,1974-11-03,San Jose State University,/players/a/abdulta01.html,abdulta01,0,78.0,"['http://www.basketball-reference.com/players/a/abdulta01.html', IndexError('list index out of range',)]"
Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,1976-12-11,University of California,/players/a/abdursh01.html,abdursh01,0,81.0,http://www.sports-reference.com/cbb/players/shareef-abdur-rahim-1.html
Tom Abernethy,1977,1981,F,6-7,220.0,1954-05-06,Indiana University,/players/a/abernto01.html,abernto01,0,79.0,http://www.sports-reference.com/cbb/players/tom-abernethy-1.html
Forest Able,1957,1957,G,6-3,180.0,1932-07-27,Western Kentucky University,/players/a/ablefo01.html,ablefo01,0,75.0,"['http://www.basketball-reference.com/players/a/ablefo01.html', IndexError('list index out of range',)]"
John Abramovic,1947,1948,F,6-3,195.0,1919-02-09,Salem International University,/players/a/abramjo01.html,abramjo01,0,75.0,"['http://www.basketball-reference.com/players/a/abramjo01.html', IndexError('list index out of range',)]"
Alex Abrines,2017,2017,G-F,6-6,190.0,1993-08-01,,/players/a/abrinal01.html,abrinal01,0,78.0,"['http://www.basketball-reference.com/players/a/abrinal01.html', IndexError('list index out of range',)]"
Alex Acker,2006,2009,G,6-5,185.0,1983-01-21,Pepperdine University,/players/a/ackeral01.html,ackeral01,0,77.0,http://www.sports-reference.com/cbb/players/alex-acker-1.html
Don Ackerman,1954,1954,G,6-0,183.0,1930-09-04,Long Island University,/players/a/ackerdo01.html,ackerdo01,0,72.0,"['http://www.basketball-reference.com/players/a/ackerdo01.html', IndexError('list index out of range',)]"
Mark Acres,1988,1993,F-C,6-11,220.0,1962-11-15,Oral Roberts University,/players/a/acresma01.html,acresma01,0,83.0,http://www.sports-reference.com/cbb/players/mark-acres-1.html
Bud Acton,1968,1968,F,6-6,210.0,1942-01-11,Hillsdale College,/players/a/actonbu01.html,actonbu01,0,78.0,"['http://www.basketball-reference.com/players/a/actonbu01.html', IndexError('list index out of range',)]"
Quincy Acy,2013,2017,F,6-7,240.0,1990-10-06,Baylor University,/players/a/acyqu01.html,acyqu01,0,79.0,http://www.sports-reference.com/cbb/players/quincy-acy-1.html
Alvan Adams,1976,1988,C-F,6-9,210.0,1954-07-19,University of Oklahoma,/players/a/adamsal01.html,adamsal01,0,81.0,http://www.sports-reference.com/cbb/players/alvan-adams-1.html
Don Adams,1971,1977,F,6-6,210.0,1947-11-27,Northwestern University,/players/a/adamsdo01.html,adamsdo01,0,78.0,"['http://www.basketball-reference.com/players/a/adamsdo01.html', IndexError('list index out of range',)]"
George Adams,1973,1975,F-G,6-5,210.0,1949-05-15,Gardner-Webb University,/players/a/adamsge01.html,adamsge01,0,77.0,"['http://www.basketball-reference.com/players/a/adamsge01.html', IndexError('list index out of range',)]"
Hassan Adams,2007,2009,G,6-4,220.0,1984-06-20,University of Arizona,/players/a/adamsha01.html,adamsha01,0,76.0,http://www.sports-reference.com/cbb/players/hassan-adams-1.html
Jordan Adams,2015,2016,G,6-5,209.0,1994-07-08,"University of California, Los Angeles",/players/a/adamsjo01.html,adamsjo01,0,77.0,http://www.sports-reference.com/cbb/players/jordan-adams-1.html
Michael Adams,1986,1996,G,5-10,162.0,1963-01-19,Boston College,/players/a/adamsmi01.html,adamsmi01,0,70.0,http://www.sports-reference.com/cbb/players/michael-adams-1.html
Steven Adams,2014,2017,C,7-0,255.0,1993-07-20,University of Pittsburgh,/players/a/adamsst01.html,adamsst01,0,84.0,http://www.sports-reference.com/cbb/players/steven-adams-1.html
Rafael Addison,1987,1997,F-G,6-7,215.0,1964-07-22,Syracuse University,/players/a/addisra01.html,addisra01,0,79.0,http://www.sports-reference.com/cbb/players/rafael-addison-1.html
Rick Adelman,1969,1975,G,6-1,175.0,1946-06-16,Loyola Marymount University,/players/a/adelmri01.html,adelmri01,0,73.0,"['http://www.basketball-reference.com/players/a/adelmri01.html', IndexError('list index out of range',)]"
Jeff Adrien,2011,2015,F,6-7,245.0,1986-02-10,University of Connecticut,/players/a/adrieje01.html,adrieje01,0,79.0,http://www.sports-reference.com/cbb/players/jeff-adrien-1.html
