Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,1968-06-24,Duke University,/players/a/abdelal01.html,abdelal01,0,82.0
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,1946-04-07,Iowa State University,/players/a/abdulza01.html,abdulza01,0,81.0
Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,1947-04-16,"University of California, Los Angeles",/players/a/abdulka01.html,abdulka01,1,86.0
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,1969-03-09,Louisiana State University,/players/a/abdulma02.html,abdulma02,0,73.0
Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,1974-11-03,San Jose State University,/players/a/abdulta01.html,abdulta01,0,78.0
Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,1976-12-11,University of California,/players/a/abdursh01.html,abdursh01,0,81.0
Tom Abernethy,1977,1981,F,6-7,220.0,1954-05-06,Indiana University,/players/a/abernto01.html,abernto01,0,79.0
Forest Able,1957,1957,G,6-3,180.0,1932-07-27,Western Kentucky University,/players/a/ablefo01.html,ablefo01,0,75.0
John Abramovic,1947,1948,F,6-3,195.0,1919-02-09,Salem International University,/players/a/abramjo01.html,abramjo01,0,75.0
Alex Abrines,2017,2017,G-F,6-6,190.0,1993-08-01,,/players/a/abrinal01.html,abrinal01,0,78.0
Alex Acker,2006,2009,G,6-5,185.0,1983-01-21,Pepperdine University,/players/a/ackeral01.html,ackeral01,0,77.0
Don Ackerman,1954,1954,G,6-0,183.0,1930-09-04,Long Island University,/players/a/ackerdo01.html,ackerdo01,0,72.0
Mark Acres,1988,1993,F-C,6-11,220.0,1962-11-15,Oral Roberts University,/players/a/acresma01.html,acresma01,0,83.0
Bud Acton,1968,1968,F,6-6,210.0,1942-01-11,Hillsdale College,/players/a/actonbu01.html,actonbu01,0,78.0
Quincy Acy,2013,2017,F,6-7,240.0,1990-10-06,Baylor University,/players/a/acyqu01.html,acyqu01,0,79.0
Alvan Adams,1976,1988,C-F,6-9,210.0,1954-07-19,University of Oklahoma,/players/a/adamsal01.html,adamsal01,0,81.0
Don Adams,1971,1977,F,6-6,210.0,1947-11-27,Northwestern University,/players/a/adamsdo01.html,adamsdo01,0,78.0
George Adams,1973,1975,F-G,6-5,210.0,1949-05-15,Gardner-Webb University,/players/a/adamsge01.html,adamsge01,0,77.0
Hassan Adams,2007,2009,G,6-4,220.0,1984-06-20,University of Arizona,/players/a/adamsha01.html,adamsha01,0,76.0
Jordan Adams,2015,2016,G,6-5,209.0,1994-07-08,"University of California, Los Angeles",/players/a/adamsjo01.html,adamsjo01,0,77.0
Michael Adams,1986,1996,G,5-10,162.0,1963-01-19,Boston College,/players/a/adamsmi01.html,adamsmi01,0,70.0
Steven Adams,2014,2017,C,7-0,255.0,1993-07-20,University of Pittsburgh,/players/a/adamsst01.html,adamsst01,0,84.0
Rafael Addison,1987,1997,F-G,6-7,215.0,1964-07-22,Syracuse University,/players/a/addisra01.html,addisra01,0,79.0
Rick Adelman,1969,1975,G,6-1,175.0,1946-06-16,Loyola Marymount University,/players/a/adelmri01.html,adelmri01,0,73.0
Jeff Adrien,2011,2015,F,6-7,245.0,1986-02-10,University of Connecticut,/players/a/adrieje01.html,adrieje01,0,79.0
Arron Afflalo,2008,2017,G,6-5,210.0,1985-10-15,"University of California, Los Angeles",/players/a/afflaar01.html,afflaar01,0,77.0
Maurice Ager,2007,2011,G,6-5,202.0,1984-02-09,Michigan State University,/players/a/agerma01.html,agerma01,0,77.0
Mark Aguirre,1982,1994,F-G,6-6,232.0,1959-12-10,DePaul University,/players/a/aguirma01.html,aguirma01,0,78.0
Blake Ahearn,2008,2012,G,6-2,190.0,1984-05-27,Missouri State University,/players/a/ahearbl01.html,ahearbl01,0,74.0
Danny Ainge,1982,1995,G,6-4,175.0,1959-03-17,Brigham Young University,/players/a/aingeda01.html,aingeda01,0,76.0
Matthew Aitch,1968,1968,F,6-7,230.0,1944-09-21,Michigan State University,/players/a/aitchma01.html,aitchma01,0,79.0
Alexis Ajinca,2009,2017,C,7-2,248.0,1988-05-06,,/players/a/ajincal01.html,ajincal01,0,86.0
Henry Akin,1967,1969,C-F,6-10,225.0,1944-07-31,Morehead State University,/players/a/akinhe01.html,akinhe01,0,82.0
Josh Akognon,2013,2013,G,5-11,185.0,1986-02-10,"California State University, Fullerton",/players/a/akognjo01.html,akognjo01,0,71.0
Solomon Alabi,2011,2012,C,7-1,251.0,1988-03-21,Florida State University,/players/a/alabiso01.html,alabiso01,0,85.0
Mark Alarie,1987,1991,F,6-8,217.0,1963-12-11,Duke University,/players/a/alarima01.html,alarima01,0,80.0
Gary Alcorn,1960,1961,C,6-9,225.0,1936-10-08,"California State University, Fresno",/players/a/alcorga01.html,alcorga01,0,81.0
Furkan Aldemir,2015,2015,F-C,6-10,240.0,1991-08-09,,/players/a/aldemfu01.html,aldemfu01,0,82.0
Cole Aldrich,2011,2017,C,6-11,250.0,1988-10-31,University of Kansas,/players/a/aldrico01.html,aldrico01,0,83.0
LaMarcus Aldridge,2007,2017,F-C,6-11,260.0,1985-07-19,University of Texas at Austin,/players/a/aldrila01.html,aldrila01,0,83.0
Chuck Aleksinas,1985,1985,C,6-11,260.0,1959-02-26,University of Connecticut,/players/a/aleksch01.html,aleksch01,0,83.0
Cliff Alexander,2016,2016,F,6-8,245.0,1995-11-16,University of Kansas,/players/a/alexacl01.html,alexacl01,0,80.0
Cory Alexander,1996,2005,G,6-1,185.0,1973-06-22,University of Virginia,/players/a/alexaco01.html,alexaco01,0,73.0
Courtney Alexander,2001,2003,G,6-5,205.0,1977-04-27,"California State University, Fresno",/players/a/alexaco02.html,alexaco02,0,77.0
Gary Alexander,1994,1994,F,6-7,240.0,1969-11-01,University of South Florida,/players/a/alexaga01.html,alexaga01,0,79.0
Joe Alexander,2009,2010,F,6-8,230.0,1986-12-26,West Virginia University,/players/a/alexajo01.html,alexajo01,0,80.0
Victor Alexander,1992,2002,C-F,6-9,265.0,1969-08-31,Iowa State University,/players/a/alexavi01.html,alexavi01,0,81.0
Steve Alford,1988,1991,G,6-2,183.0,1964-11-23,Indiana University,/players/a/alforst01.html,alforst01,0,74.0
Bill Allen,1968,1968,C-F,6-8,205.0,,New Mexico State University,/players/a/allenbi01.html,allenbi01,0,80.0
Bob Allen,1969,1969,F,6-9,205.0,1946-07-17,Marshall University,/players/a/allenbo01.html,allenbo01,0,81.0
Jerome Allen,1996,1997,G,6-4,184.0,1973-01-28,University of Pennsylvania,/players/a/allenje01.html,allenje01,0,76.0
Lavoy Allen,2012,2017,F-C,6-9,260.0,1989-02-04,Temple University,/players/a/allenla01.html,allenla01,0,81.0
Lucius Allen,1970,1979,G,6-2,175.0,1947-09-26,"University of California, Los Angeles",/players/a/allenlu01.html,allenlu01,0,74.0
Malik Allen,2002,2011,F-C,6-10,255.0,1978-06-27,Villanova University,/players/a/allenma01.html,allenma01,0,82.0
Randy Allen,1989,1990,F,6-8,220.0,1965-01-26,Florida State University,/players/a/allenra01.html,allenra01,0,80.0
Ray Allen,1997,2014,G,6-5,205.0,1975-07-20,University of Connecticut,/players/a/allenra02.html,allenra02,0,77.0
Tony Allen,2005,2017,G-F,6-4,213.0,1982-01-11,Oklahoma State University,/players/a/allento01.html,allento01,0,76.0
