Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Marcos Baltanas,Malaga,1,1.5,139.4,27.9,27.9,100.0%,27.9,27.9,100.0%,0.0,27.9,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Marcos-Baltanas-36912/,/stats/acb/2003/Malaga,2003,acb,Marcos-Baltanas-36912,Malaga
Christophe Humbert,Breogan,1,1.8,66.1,22.0,22.0,100.0%,0.0,0.0,0.0%,22.0,44.1,50.0%,22.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,/profile/Christophe-Humbert-36621/,/stats/acb/2003/Breogan,2003,acb,Christophe-Humbert-36621,Breogan
Alberto Ruiz,Breogan,1,2.5,64.2,16.0,16.0,100.0%,0.0,16.0,0.0%,32.1,32.1,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,/profile/Alberto-Ruiz-36560/,/stats/acb/2003/Breogan,2003,acb,Alberto-Ruiz-36560,Breogan
Sebas Vargas,Alicante,1,1.7,49.0,24.5,49.0,50.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,24.5,0.0,24.5,0.0,0.0,0.0,0.0,0.0,/profile/Sebas-Vargas-37054/,/stats/acb/2003/Alicante,2003,acb,Sebas-Vargas-37054,Alicante
Juan Ignacio Elizagaray,Fuenlabrada,1,1.6,47.8,23.9,23.9,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Juan-Ignacio-Elizagaray-36853/,/stats/acb/2003/Fuenlabrada,2003,acb,Juan-Ignacio-Elizagaray-36853,Fuenlabrada
Nacho Martin,Barcelona,1,3.3,37.0,0.0,12.3,0.0%,12.3,12.3,100.0%,0.0,0.0,0.0%,0.0,12.3,12.3,0.0,0.0,0.0,0.0,12.3,/profile/Nacho-Martin-36964/,/stats/acb/2003/Barcelona,2003,acb,Nacho-Martin-36964,Barcelona
Salva Camps,Gran Canaria,3,12.8,28.0,1.0,2.1,50.0%,5.2,9.3,55.6%,10.4,14.5,71.4%,0.0,1.0,1.0,2.1,0.0,0.0,3.1,7.3,/profile/Salva-Camps-36408/,/stats/acb/2003/Gran%20Canaria,2003,acb,Salva-Camps-36408,Gran%20Canaria
Jesus Castro,Granada,2,1.5,25.6,0.0,12.8,0.0%,0.0,12.8,0.0%,25.6,25.6,100.0%,0.0,12.8,12.8,0.0,0.0,0.0,0.0,12.8,/profile/Jesus-Castro-36829/,/stats/acb/2003/Granada,2003,acb,Jesus-Castro-36829,Granada
Corey Brewer,Estudiantes,39,22.1,24.5,3.7,7.9,46.5%,4.0,11.5,34.7%,5.2,6.7,77.4%,1.6,2.4,4.0,2.3,2.9,0.1,2.9,4.7,/profile/Corey-Brewer-39058/,/stats/acb/2003/Estudiantes,2003,acb,Corey-Brewer-39058,Estudiantes
Fran Murcia,Gran Canaria,8,10.9,23.6,2.7,6.4,42.9%,4.1,9.5,42.9%,5.9,6.8,86.7%,2.3,4.5,6.8,3.2,0.0,0.5,2.3,4.1,/profile/Fran-Murcia-35947/,/stats/acb/2003/Gran%20Canaria,2003,acb,Fran-Murcia-35947,Gran%20Canaria
Richard Scott,Fuenlabrada,33,30.8,23.6,9.5,16.8,56.5%,0.2,0.8,22.7%,4.0,5.9,67.5%,2.6,4.8,7.4,2.6,1.7,0.5,4.2,4.9,/profile/Richard-Scott-36364/,/stats/acb/2003/Fuenlabrada,2003,acb,Richard-Scott-36364,Fuenlabrada
Louis Bullock,Malaga,43,25.6,23.5,4.5,10.4,43.0%,2.9,7.7,37.6%,5.9,6.9,86.3%,0.7,2.6,3.3,3.4,1.3,0.3,3.3,4.1,/profile/Louis-Bullock-5223/,/stats/acb/2003/Malaga,2003,acb,Louis-Bullock-5223,Malaga
Walter Hermann,Fuenlabrada,30,37.9,22.9,6.4,12.3,51.7%,1.7,4.6,37.6%,5.0,6.4,78.1%,3.1,6.8,9.9,0.7,0.9,0.2,1.9,1.2,/profile/Walter-Hermann-5191/,/stats/acb/2003/Fuenlabrada,2003,acb,Walter-Hermann-5191,Fuenlabrada
Andres Nocioni,Vitoria,39,29.4,22.7,5.9,11.7,50.9%,2.0,5.3,36.6%,4.9,6.4,77.5%,2.3,6.7,9.0,2.0,1.1,1.2,3.1,4.4,/profile/Andres-Nocioni-3763/,/stats/acb/2003/Vitoria,2003,acb,Andres-Nocioni-3763,Vitoria
Luis Scola,Vitoria,33,29.8,22.6,9.7,17.3,56.3%,0.0,0.0,0.0%,3.2,5.6,57.4%,2.9,4.9,7.8,2.7,2.0,0.4,3.0,5.1,/profile/Luis-Scola-5184/,/stats/acb/2003/Vitoria,2003,acb,Luis-Scola-5184,Vitoria
Danya Abrams,Sevilla,24,30.5,22.5,8.3,16.2,51.5%,0.3,1.0,33.3%,4.9,6.5,74.6%,3.5,4.9,8.4,1.9,1.0,0.4,3.9,5.0,/profile/Danya-Abrams-35864/,/stats/acb/2003/Sevilla,2003,acb,Danya-Abrams-35864,Sevilla
Bud Eley,Gran Canaria,37,27.5,22.5,9.0,15.1,59.8%,0.1,0.2,50.0%,4.2,7.4,56.9%,3.6,8.0,11.5,1.5,1.5,1.8,3.4,5.7,/profile/Bud-Eley-5381/,/stats/acb/2003/Gran%20Canaria,2003,acb,Bud-Eley-5381,Gran%20Canaria
Larry Lewis,Gran Canaria,36,32.3,22.4,8.6,16.8,50.9%,0.2,0.7,30.0%,4.7,6.9,68.2%,2.9,6.4,9.3,2.2,2.0,0.6,3.2,3.4,/profile/Larry-Lewis-36873/,/stats/acb/2003/Gran%20Canaria,2003,acb,Larry-Lewis-36873,Gran%20Canaria
Deon Thomas,Caceres,15,27.3,22.1,8.0,14.5,55.0%,0.4,1.2,33.3%,5.0,7.0,71.2%,2.2,5.9,8.2,1.4,1.0,0.7,2.8,5.3,/profile/Deon-Thomas-5641/,/stats/acb/2003/Caceres,2003,acb,Deon-Thomas-5641,Caceres
Xavi Fernandez,Girona,24,12.7,21.9,4.4,6.1,71.7%,3.1,7.4,41.1%,4.0,5.2,76.9%,1.1,2.0,3.1,3.8,1.2,0.3,2.5,5.7,/profile/Xavi-Fernandez-36536/,/stats/acb/2003/Girona,2003,acb,Xavi-Fernandez-36536,Girona
Gabe Muoneke,Caceres,16,25.5,21.7,7.7,13.9,55.2%,0.4,2.3,16.7%,5.2,7.9,65.9%,2.2,3.7,6.0,2.9,1.3,0.3,3.4,4.9,/profile/Gabe-Muoneke-5457/,/stats/acb/2003/Caceres,2003,acb,Gabe-Muoneke-5457,Caceres
Norman Nolan,Valladolid,8,28.7,21.7,7.3,15.0,48.8%,1.4,3.3,42.1%,2.8,5.4,51.6%,2.6,5.1,7.7,0.7,1.6,0.3,1.0,4.4,/profile/Norman-Nolan-36295/,/stats/acb/2003/Valladolid,2003,acb,Norman-Nolan-36295,Valladolid
Reggie Slater,Sevilla,8,29.3,21.6,8.3,15.4,53.9%,0.0,0.2,0.0%,5.0,7.6,65.9%,2.9,5.4,8.3,2.2,0.9,0.7,3.6,4.5,/profile/Reggie-Slater-4362/,/stats/acb/2003/Sevilla,2003,acb,Reggie-Slater-4362,Sevilla
Velimir Perasovic,Alicante,37,33.3,21.4,3.9,8.7,45.3%,2.9,7.8,37.6%,4.8,5.9,81.1%,0.9,1.9,2.8,3.2,1.1,0.1,2.8,2.7,/profile/Velimir-Perasovic-36512/,/stats/acb/2003/Alicante,2003,acb,Velimir-Perasovic-36512,Alicante
Donatas Slanina,Sevilla,34,34.4,21.3,5.0,9.0,55.8%,2.5,5.1,48.6%,3.8,4.2,90.2%,0.6,1.7,2.2,2.1,1.2,0.0,2.1,3.1,/profile/Donatas-Slanina-5632/,/stats/acb/2003/Sevilla,2003,acb,Donatas-Slanina-5632,Sevilla
Maceo Baston,Joventut,16,29.8,21.2,8.3,13.3,62.7%,0.3,0.7,50.0%,3.6,5.5,66.2%,2.3,6.7,9.1,0.8,1.0,2.7,3.3,4.7,/profile/Maceo-Baston-1614/,/stats/acb/2003/Joventut,2003,acb,Maceo-Baston-1614,Joventut
Angel Santana,Alicante,3,3.2,21.1,4.2,8.4,50.0%,4.2,4.2,100.0%,0.0,0.0,0.0%,0.0,4.2,4.2,12.7,4.2,0.0,0.0,4.2,/profile/Angel-Santana-36580/,/stats/acb/2003/Alicante,2003,acb,Angel-Santana-36580,Alicante
Stephane Risacher,Malaga,44,21.0,21.1,5.2,9.0,57.7%,2.4,6.5,36.3%,3.6,4.6,77.7%,1.7,4.6,6.3,2.3,0.8,0.8,2.1,5.4,/profile/Stephane-Risacher-35610/,/stats/acb/2003/Malaga,2003,acb,Stephane-Risacher-35610,Malaga
