Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Walter Hermann,Fuenlabrada,30,37.9,22.3,16.4,1.04,0.58,0.53,0.38,0.27,0.63,0.04,0.35,-3.63,0.9,0.2,1.1,/profile/Walter-Hermann-5191/,/stats/acb/2003/Fuenlabrada,2003,acb,Walter-Hermann-5191,Fuenlabrada
Francesc Solana,Fuenlabrada,34,36.1,16.8,11.6,0.92,0.59,0.50,0.53,0.47,3.56,0.31,1.01,-3.12,1.5,0.1,3.5,/profile/Francesc-Solana-35948/,/stats/acb/2003/Fuenlabrada,2003,acb,Francesc-Solana-35948,Fuenlabrada
Andy Panko,Girona,9,35.8,17.2,14.4,0.89,0.52,0.46,0.34,0.32,1.78,0.12,0.73,-3.56,1.3,0.1,3.9,/profile/Andy-Panko-3863/,/stats/acb/2003/Girona,2003,acb,Andy-Panko-3863,Girona
Donatas Slanina,Sevilla,34,34.4,18.1,12.0,1.16,0.67,0.62,0.30,0.36,1.76,0.15,0.98,-1.81,1.1,0.0,2.6,/profile/Donatas-Slanina-5632/,/stats/acb/2003/Sevilla,2003,acb,Donatas-Slanina-5632,Sevilla
Lou Roe,Alicante,35,33.9,17.2,12.0,1.01,0.59,0.55,0.49,0.02,1.20,0.10,0.55,-4.09,1.5,1.6,3.2,/profile/Lou-Roe-4150/,/stats/acb/2003/Alicante,2003,acb,Lou-Roe-4150,Alicante
Veljko Mrsic,Girona,18,33.9,14.6,11.3,0.86,0.51,0.42,0.58,0.29,2.78,0.25,1.25,-1.11,1.1,0.2,1.8,/profile/Veljko-Mrsic-36513/,/stats/acb/2003/Girona,2003,acb,Veljko-Mrsic-36513,Girona
Mike Iuzzolino,Valladolid,14,33.6,10.0,7.5,1.00,0.62,0.60,0.18,0.54,2.43,0.32,1.31,-0.71,0.7,0.0,1.9,/profile/Mike-Iuzzolino-2927/,/stats/acb/2003/Valladolid,2003,acb,Mike-Iuzzolino-2927,Valladolid
Velimir Perasovic,Alicante,37,33.3,17.6,13.6,0.96,0.56,0.50,0.36,0.47,2.65,0.20,1.14,-1.69,0.9,0.1,2.2,/profile/Velimir-Perasovic-36512/,/stats/acb/2003/Alicante,2003,acb,Velimir-Perasovic-36512,Alicante
Jerome Allen,Vitoria,19,33.0,12.5,9.3,0.96,0.56,0.51,0.45,0.37,3.63,0.39,2.16,2.24,1.2,0.2,1.6,/profile/Jerome-Allen-1481/,/stats/acb/2003/Vitoria,2003,acb,Jerome-Allen-1481,Vitoria
Sidney Johnson,Girona,33,33.0,7.2,5.3,0.81,0.53,0.47,0.66,0.47,2.82,0.53,1.52,0.09,1.5,0.1,2.4,/profile/Sidney-Johnson-36433/,/stats/acb/2003/Girona,2003,acb,Sidney-Johnson-36433,Girona
