Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Walter Hermann,Fuenlabrada,30,37.9,22.6,21.9,23.1,6.65,18.3,77.1,23.7%,1.22,0.90,0.34,0.03,0.10,/profile/Walter-Hermann-5191/,/stats/acb/2003/Fuenlabrada,2003,acb,Walter-Hermann-5191,Fuenlabrada
Francesc Solana,Fuenlabrada,34,36.1,15.2,14.3,15.8,2.68,16.5,77.1,21.4%,1.02,0.70,0.37,0.22,0.21,/profile/Francesc-Solana-35948/,/stats/acb/2003/Fuenlabrada,2003,acb,Francesc-Solana-35948,Fuenlabrada
Andy Panko,Girona,9,35.8,15.6,14.4,16.1,0.77,16.8,73.8,22.8%,1.02,0.86,0.29,0.11,0.15,/profile/Andy-Panko-3863/,/stats/acb/2003/Girona,2003,acb,Andy-Panko-3863,Girona
Donatas Slanina,Sevilla,34,34.4,19.2,15.1,17.5,4.90,14.0,73.2,19.2%,1.29,0.86,0.26,0.13,0.13,/profile/Donatas-Slanina-5632/,/stats/acb/2003/Sevilla,2003,acb,Donatas-Slanina-5632,Sevilla
Lou Roe,Alicante,35,33.9,22.5,20.1,23.7,6.86,14.7,73.5,20.0%,1.17,0.82,0.40,0.08,0.15,/profile/Lou-Roe-4150/,/stats/acb/2003/Alicante,2003,acb,Lou-Roe-4150,Alicante
Veljko Mrsic,Girona,18,33.9,15.5,12.4,14.7,1.43,13.8,73.8,18.7%,1.05,0.82,0.48,0.20,0.16,/profile/Veljko-Mrsic-36513/,/stats/acb/2003/Girona,2003,acb,Veljko-Mrsic-36513,Girona
Mike Iuzzolino,Valladolid,14,33.6,10.7,9.4,11.1,-0.03,9.6,73.8,13.0%,1.04,0.78,0.14,0.25,0.19,/profile/Mike-Iuzzolino-2927/,/stats/acb/2003/Valladolid,2003,acb,Mike-Iuzzolino-2927,Valladolid
Velimir Perasovic,Alicante,37,33.3,16.1,12.5,15.0,3.25,15.5,73.5,21.1%,1.14,0.87,0.31,0.17,0.15,/profile/Velimir-Perasovic-36512/,/stats/acb/2003/Alicante,2003,acb,Velimir-Perasovic-36512,Alicante
Jerome Allen,Vitoria,19,33.0,15.8,13.0,15.7,1.56,12.2,75.0,16.3%,1.03,0.76,0.34,0.30,0.14,/profile/Jerome-Allen-1481/,/stats/acb/2003/Vitoria,2003,acb,Jerome-Allen-1481,Vitoria
Sidney Johnson,Girona,33,33.0,9.3,8.1,9.8,-0.81,8.1,73.8,11.0%,0.90,0.66,0.43,0.35,0.23,/profile/Sidney-Johnson-36433/,/stats/acb/2003/Girona,2003,acb,Sidney-Johnson-36433,Girona
Bernardo Hernandez,Fuenlabrada,34,32.9,7.9,7.6,9.2,-1.64,8.8,77.1,11.4%,0.81,0.84,0.18,0.43,0.22,/profile/Bernardo-Hernandez-36599/,/stats/acb/2003/Fuenlabrada,2003,acb,Bernardo-Hernandez-36599,Fuenlabrada
Anthony Bonner,Valladolid,26,32.6,12.2,11.5,14.1,0.59,14.1,73.8,19.1%,0.84,0.88,0.19,0.13,0.16,/profile/Anthony-Bonner-1725/,/stats/acb/2003/Valladolid,2003,acb,Anthony-Bonner-1725,Valladolid
Oscar Yebra,Valladolid,34,32.4,20.0,16.6,20.5,5.01,13.3,73.8,18.0%,1.20,0.85,0.26,0.10,0.17,/profile/Oscar-Yebra-36300/,/stats/acb/2003/Valladolid,2003,acb,Oscar-Yebra-36300,Valladolid
Larry Lewis,Gran Canaria,36,32.3,21.6,18.3,22.7,6.23,17.0,74.6,22.8%,1.07,0.84,0.33,0.11,0.15,/profile/Larry-Lewis-36873/,/stats/acb/2003/Gran%20Canaria,2003,acb,Larry-Lewis-36873,Gran%20Canaria
Zan Tabak,Joventut,34,32.2,17.5,16.6,20.7,3.65,12.0,75.1,16.0%,1.09,0.74,0.31,0.18,0.22,/profile/Zan-Tabak-4537/,/stats/acb/2003/Joventut,2003,acb,Zan-Tabak-4537,Joventut
Devin Davis,Breogan,33,31.8,19.6,16.3,20.5,4.57,14.0,75.1,18.6%,1.09,0.79,0.37,0.10,0.18,/profile/Devin-Davis-35886/,/stats/acb/2003/Breogan,2003,acb,Devin-Davis-35886,Breogan
Kevin Thompson,Caceres,19,31.8,20.6,17.7,22.3,2.93,12.7,75.8,16.7%,1.23,0.92,0.32,0.08,0.16,/profile/Kevin-Thompson-4597/,/stats/acb/2003/Caceres,2003,acb,Kevin-Thompson-4597,Caceres
