Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Jurica Spahija,Gravelines,1,1.0,78.6,39.3,39.3,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,/profile/Jurica-Spahija-36860/,/stats/eurocup/2003/Gravelines,2003,eurocup,Jurica-Spahija-36860,Gravelines
Joan Enric Rivas,Lleida,1,2.0,58.2,0.0,0.0,0.0%,19.4,19.4,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,/profile/Joan-Enric-Rivas-36053/,/stats/eurocup/2003/Lleida,2003,eurocup,Joan-Enric-Rivas-36053,Lleida
Juan Ignacio Elizagaray,Fuenlabrada,1,3.0,38.7,0.0,0.0,0.0%,12.9,25.8,50.0%,0.0,0.0,0.0%,0.0,12.9,12.9,0.0,0.0,0.0,0.0,0.0,/profile/Juan-Ignacio-Elizagaray-36853/,/stats/eurocup/2003/Fuenlabrada,2003,eurocup,Juan-Ignacio-Elizagaray-36853,Fuenlabrada
Oliver Arteaga,Valencia,2,2.0,31.1,10.4,10.4,100.0%,0.0,0.0,0.0%,10.4,10.4,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,/profile/Oliver-Arteaga-36984/,/stats/eurocup/2003/Valencia,2003,eurocup,Oliver-Arteaga-36984,Valencia
Demetrius Alexander,Udine,9,26.7,29.0,8.1,13.2,61.0%,2.8,5.3,51.6%,4.6,5.5,84.4%,3.3,4.6,7.9,1.4,1.4,0.3,3.3,5.3,/profile/Demetrius-Alexander-5564/,/stats/eurocup/2003/Udine,2003,eurocup,Demetrius-Alexander-5564,Udine
Richard Scott,Fuenlabrada,10,24.0,28.7,10.6,19.7,54.1%,0.2,1.0,16.7%,6.9,11.3,61.4%,2.4,4.0,6.4,3.2,1.4,1.1,4.0,6.0,/profile/Richard-Scott-36364/,/stats/eurocup/2003/Fuenlabrada,2003,eurocup,Richard-Scott-36364,Fuenlabrada
Jeffrey Bolton,Amsterdam,1,34.0,28.4,4.5,12.5,36.4%,3.4,11.4,30.0%,9.1,10.2,88.9%,2.3,2.3,4.5,0.0,1.1,0.0,3.4,1.1,/profile/Jeffrey-Bolton-36822/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Jeffrey-Bolton-36822,Amsterdam
Waldemar Buchmiller,Bonn,1,3.0,26.5,0.0,0.0,0.0%,0.0,0.0,0.0%,26.5,26.5,100.0%,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,/profile/Waldemar-Buchmiller-37126/,/stats/eurocup/2003/Bonn,2003,eurocup,Waldemar-Buchmiller-37126,Bonn
Acie Earl,Darussafaka,5,33.8,26.4,9.6,17.0,56.8%,0.5,1.4,33.3%,5.7,8.9,64.1%,3.7,8.0,11.7,1.8,2.3,1.4,3.9,3.4,/profile/Acie-Earl-2309/,/stats/eurocup/2003/Darussafaka,2003,eurocup,Acie-Earl-2309,Darussafaka
Nathan Erdmann,Trieste,9,29.1,26.3,6.2,10.0,61.8%,3.2,7.9,40.7%,4.3,5.4,78.4%,1.0,2.9,4.0,2.2,2.9,0.3,3.4,3.2,/profile/Nathan-Erdmann-37519/,/stats/eurocup/2003/Trieste,2003,eurocup,Nathan-Erdmann-37519,Trieste
