Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Steve Goodrich,Darussafaka,1,39.0,14.0,14.0,0.68,0.43,0.36,0.36,0.21,3.00,0.21,0.75,-4.98,2.0,0.0,3.0,/profile/Steve-Goodrich-2581/,/stats/eurocup/2003/Darussafaka,2003,eurocup,Steve-Goodrich-2581,Darussafaka
Eddie Shannon,Ural Great Perm,12,37.7,17.9,10.3,1.06,0.68,0.61,0.62,0.33,3.33,0.32,1.00,-2.90,1.9,0.0,2.5,/profile/Eddie-Shannon-36694/,/stats/eurocup/2003/Ural%20Great%20Perm,2003,eurocup,Eddie-Shannon-36694,Ural%20Great%20Perm
Terrence Rencher,Bonn,10,36.9,13.7,8.9,0.95,0.63,0.60,0.51,0.21,3.90,0.44,1.18,-1.89,2.0,0.1,3.2,/profile/Terrence-Rencher-4068/,/stats/eurocup/2003/Bonn,2003,eurocup,Terrence-Rencher-4068,Bonn
Sasa Ocokoljic,Amsterdam,1,36.0,21.0,10.0,1.27,0.75,0.70,0.90,0.80,0.00,0.00,0.00,-5.36,1.0,0.0,5.0,/profile/Sasa-Ocokoljic-37048/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Sasa-Ocokoljic-37048,Amsterdam
Joe Spinks,Amsterdam,10,35.2,19.0,17.7,0.86,0.49,0.47,0.21,0.38,1.30,0.07,0.54,-4.20,4.1,0.2,2.7,/profile/Joe-Spinks-36834/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Joe-Spinks-36834,Amsterdam
Richie Frahm,Darussafaka,4,35.0,17.5,12.5,1.04,0.65,0.62,0.18,0.52,1.25,0.10,0.38,-6.70,1.8,0.3,1.8,/profile/Richie-Frahm-2465/,/stats/eurocup/2003/Darussafaka,2003,eurocup,Richie-Frahm-2465,Darussafaka
Jamie Arnold,Krka,16,34.4,20.3,13.6,1.06,0.63,0.57,0.39,0.20,1.19,0.09,0.41,-6.39,1.6,0.6,2.9,/profile/Jamie-Arnold-5460/,/stats/eurocup/2003/Krka,2003,eurocup,Jamie-Arnold-5460,Krka
Chris McGuthrie,Amsterdam,8,34.3,20.4,17.5,0.93,0.54,0.51,0.17,0.58,4.13,0.24,1.38,-0.70,1.8,0.0,2.0,/profile/Chris-McGuthrie-36617/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Chris-McGuthrie-36617,Amsterdam
Boris Gorenc,Varese,13,34.2,17.6,12.8,0.94,0.57,0.53,0.48,0.22,1.92,0.15,0.68,-4.51,2.2,0.2,2.8,/profile/Boris-Gorenc-35773/,/stats/eurocup/2003/Varese,2003,eurocup,Boris-Gorenc-35773,Varese
Mladen Erjavec,Zadar,14,34.1,11.6,9.9,0.86,0.50,0.43,0.38,0.30,3.29,0.33,2.00,1.59,1.4,0.0,3.5,/profile/Mladen-Erjavec-36185/,/stats/eurocup/2003/Zadar,2003,eurocup,Mladen-Erjavec-36185,Zadar
David Thomas,Frankfurt,2,34.0,12.5,9.0,1.02,0.65,0.61,0.17,0.33,2.00,0.22,0.80,-3.52,1.5,0.0,3.0,/profile/David-Thomas-36656/,/stats/eurocup/2003/Frankfurt,2003,eurocup,David-Thomas-36656,Frankfurt
Jeffrey Bolton,Amsterdam,1,34.0,25.0,21.0,0.88,0.50,0.40,0.43,0.48,0.00,0.00,0.00,-8.52,1.0,0.0,1.0,/profile/Jeffrey-Bolton-36822/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Jeffrey-Bolton-36822,Amsterdam
Acie Earl,Darussafaka,5,33.8,23.0,16.0,0.99,0.59,0.56,0.49,0.08,1.60,0.10,0.47,-6.69,2.0,1.2,3.0,/profile/Acie-Earl-2309/,/stats/eurocup/2003/Darussafaka,2003,eurocup,Acie-Earl-2309,Darussafaka
