Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Steve Goodrich,Darussafaka,1,39.0,9.4,11.0,11.3,-0.03,17.2,78.7,21.9%,0.81,0.81,0.29,0.17,0.23,/profile/Steve-Goodrich-2581/,/stats/eurocup/2003/Darussafaka,2003,eurocup,Steve-Goodrich-2581,Darussafaka
Eddie Shannon,Ural Great Perm,12,37.7,19.6,17.9,19.0,1.97,15.1,74.7,20.3%,1.18,0.68,0.42,0.22,0.22,/profile/Eddie-Shannon-36694/,/stats/eurocup/2003/Ural%20Great%20Perm,2003,eurocup,Eddie-Shannon-36694,Ural%20Great%20Perm
Terrence Rencher,Bonn,10,36.9,15.8,15.2,16.5,0.91,13.1,74.7,17.6%,1.05,0.68,0.34,0.30,0.25,/profile/Terrence-Rencher-4068/,/stats/eurocup/2003/Bonn,2003,eurocup,Terrence-Rencher-4068,Bonn
Sasa Ocokoljic,Amsterdam,1,36.0,19.9,17.0,18.9,0.16,14.7,77.6,19.0%,1.42,0.68,0.61,0.00,0.14,/profile/Sasa-Ocokoljic-37048/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Sasa-Ocokoljic-37048,Amsterdam
Joe Spinks,Amsterdam,10,35.2,21.2,18.7,21.3,1.82,18.3,77.6,23.6%,1.04,0.97,0.21,0.07,0.13,/profile/Joe-Spinks-36834/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Joe-Spinks-36834,Amsterdam
Richie Frahm,Darussafaka,4,35.0,16.3,13.8,15.7,0.38,15.1,78.7,19.2%,1.16,0.83,0.15,0.08,0.22,/profile/Richie-Frahm-2465/,/stats/eurocup/2003/Darussafaka,2003,eurocup,Richie-Frahm-2465,Darussafaka
Jamie Arnold,Krka,16,34.4,26.1,22.4,26.0,4.20,17.4,72.5,24.1%,1.16,0.78,0.30,0.07,0.16,/profile/Jamie-Arnold-5460/,/stats/eurocup/2003/Krka,2003,eurocup,Jamie-Arnold-5460,Krka
Chris McGuthrie,Amsterdam,8,34.3,18.0,14.4,16.8,0.98,20.0,77.6,25.8%,1.02,0.87,0.15,0.21,0.15,/profile/Chris-McGuthrie-36617/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Chris-McGuthrie-36617,Amsterdam
Boris Gorenc,Varese,13,34.2,19.1,15.2,17.7,1.82,16.2,75.8,21.3%,1.09,0.79,0.38,0.12,0.18,/profile/Boris-Gorenc-35773/,/stats/eurocup/2003/Varese,2003,eurocup,Boris-Gorenc-35773,Varese
Mladen Erjavec,Zadar,14,34.1,12.2,10.9,12.7,0.32,12.0,77.1,15.5%,0.97,0.83,0.32,0.27,0.14,/profile/Mladen-Erjavec-36185/,/stats/eurocup/2003/Zadar,2003,eurocup,Mladen-Erjavec-36185,Zadar
David Thomas,Frankfurt,2,34.0,16.7,15.0,17.6,0.20,10.8,74.1,14.5%,1.16,0.84,0.14,0.19,0.23,/profile/David-Thomas-36656/,/stats/eurocup/2003/Frankfurt,2003,eurocup,David-Thomas-36656,Frankfurt
Jeffrey Bolton,Amsterdam,1,34.0,17.3,12.0,14.1,0.11,21.0,77.6,27.1%,1.19,1.00,0.43,0.00,0.14,/profile/Jeffrey-Bolton-36822/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Jeffrey-Bolton-36822,Amsterdam
Acie Earl,Darussafaka,5,33.8,27.6,24.6,29.1,1.41,20.4,78.7,25.9%,1.13,0.78,0.38,0.08,0.17,/profile/Acie-Earl-2309/,/stats/eurocup/2003/Darussafaka,2003,eurocup,Acie-Earl-2309,Darussafaka
Marko Popovic,Zadar,11,33.7,20.9,16.4,19.4,1.86,16.6,77.1,21.6%,1.17,0.81,0.34,0.19,0.14,/profile/Marko-Popovic-5353/,/stats/eurocup/2003/Zadar,2003,eurocup,Marko-Popovic-5353,Zadar
Marcus Faison,Charleroi,12,33.7,16.6,13.4,15.9,1.15,13.8,74.7,18.4%,1.06,0.87,0.27,0.15,0.19,/profile/Marcus-Faison-5478/,/stats/eurocup/2003/Charleroi,2003,eurocup,Marcus-Faison-5478,Charleroi
Bradley Traina,Bonn,10,33.5,11.7,9.0,10.7,0.14,13.3,74.7,17.9%,0.98,0.94,0.20,0.09,0.12,/profile/Bradley-Traina-35776/,/stats/eurocup/2003/Bonn,2003,eurocup,Bradley-Traina-35776,Bonn
Kenyan Weaks,Lasko,12,33.4,18.2,14.3,17.1,1.48,16.6,73.6,22.5%,1.06,0.85,0.19,0.11,0.18,/profile/Kenyan-Weaks-36862/,/stats/eurocup/2003/Lasko,2003,eurocup,Kenyan-Weaks-36862,Lasko
Ivan Tomeljak,Amsterdam,9,32.9,10.1,8.9,10.8,-0.10,8.3,77.6,10.7%,0.94,0.77,0.26,0.44,0.28,/profile/Ivan-Tomeljak-36036/,/stats/eurocup/2003/Amsterdam,2003,eurocup,Ivan-Tomeljak-36036,Amsterdam
Ralph Biggs,Oostende,6,32.7,11.1,8.5,10.4,0.02,12.7,77.0,16.5%,0.90,0.79,0.24,0.17,0.17,/profile/Ralph-Biggs-36348/,/stats/eurocup/2003/Oostende,2003,eurocup,Ralph-Biggs-36348,Oostende
Aleksandar Capin,Krka,18,32.0,17.7,12.6,15.7,1.98,11.3,72.5,15.6%,1.18,0.86,0.25,0.29,0.14,/profile/Aleksandar-Capin-5644/,/stats/eurocup/2003/Krka,2003,eurocup,Aleksandar-Capin-5644,Krka
Valentin Kubrakov,Ural Great Perm,12,31.9,18.0,14.5,18.2,1.38,9.9,74.7,13.2%,1.36,0.91,0.33,0.15,0.13,/profile/Valentin-Kubrakov-37110/,/stats/eurocup/2003/Ural%20Great%20Perm,2003,eurocup,Valentin-Kubrakov-37110,Ural%20Great%20Perm
K'Zell Wesson,Cholet,10,31.7,17.5,18.7,23.6,1.05,14.8,76.9,19.2%,0.95,0.71,0.41,0.13,0.23,/profile/K-Zell-Wesson-5583/,/stats/eurocup/2003/Cholet,2003,eurocup,K-Zell-Wesson-5583,Cholet
Laurent Pluvy,Chalon,9,31.6,11.3,10.4,13.2,0.07,9.8,74.0,13.3%,1.00,0.74,0.24,0.23,0.16,/profile/Laurent-Pluvy-36878/,/stats/eurocup/2003/Chalon,2003,eurocup,Laurent-Pluvy-36878,Chalon
Chris Anstey,Ural Great Perm,12,31.4,25.9,21.8,27.7,2.83,16.6,74.7,22.2%,1.14,0.73,0.51,0.05,0.14,/profile/Chris-Anstey-1518/,/stats/eurocup/2003/Ural%20Great%20Perm,2003,eurocup,Chris-Anstey-1518,Ural%20Great%20Perm
Slavko Duscak,Krka,18,31.3,15.4,10.3,13.1,1.28,12.4,72.5,17.1%,1.15,0.79,0.39,0.13,0.17,/profile/Slavko-Duscak-35659/,/stats/eurocup/2003/Krka,2003,eurocup,Slavko-Duscak-35659,Krka
Walter Hermann,Fuenlabrada,9,30.9,19.4,15.6,20.1,1.19,14.9,77.9,19.2%,1.13,0.90,0.23,0.04,0.10,/profile/Walter-Hermann-5191/,/stats/eurocup/2003/Fuenlabrada,2003,eurocup,Walter-Hermann-5191,Fuenlabrada
Christophe Beghin,Oostende,10,30.8,13.2,12.0,15.6,0.36,11.1,77.0,14.4%,1.00,0.82,0.31,0.01,0.18,/profile/Christophe-Beghin-35804/,/stats/eurocup/2003/Oostende,2003,eurocup,Christophe-Beghin-35804,Oostende
Michele Mian,Udine,12,30.7,13.2,9.2,12.0,0.43,7.5,74.8,10.0%,1.29,0.92,0.15,0.13,0.13,/profile/Michele-Mian-36242/,/stats/eurocup/2003/Udine,2003,eurocup,Michele-Mian-36242,Udine
Michael Hawkins,Oostende,4,30.5,8.3,7.5,9.8,-0.15,11.3,77.0,14.7%,0.80,0.62,0.22,0.29,0.35,/profile/Michael-Hawkins-2766/,/stats/eurocup/2003/Oostende,2003,eurocup,Michael-Hawkins-2766,Oostende
Pascal Roller,Frankfurt,10,30.5,11.3,8.4,11.0,0.07,8.5,74.1,11.5%,1.18,0.74,0.28,0.21,0.24,/profile/Pascal-Roller-36316/,/stats/eurocup/2003/Frankfurt,2003,eurocup,Pascal-Roller-36316,Frankfurt
Mikhail Mikhailov,Udine,8,30.5,20.0,15.8,20.7,1.12,12.1,74.8,16.2%,1.11,0.85,0.29,0.07,0.14,/profile/Mikhail-Mikhailov-36245/,/stats/eurocup/2003/Udine,2003,eurocup,Mikhail-Mikhailov-36245,Udine
Aleksander Nadjfeji,Bonn,10,30.5,22.0,17.7,23.2,1.70,15.4,74.7,20.6%,1.13,0.81,0.31,0.15,0.19,/profile/Aleksander-Nadjfeji-5540/,/stats/eurocup/2003/Bonn,2003,eurocup,Aleksander-Nadjfeji-5540,Bonn
Vincent Jones,Darussafaka,6,30.3,20.3,18.0,23.7,0.86,12.1,78.7,15.3%,1.11,0.94,0.19,0.01,0.11,/profile/Vincent-Jones-37117/,/stats/eurocup/2003/Darussafaka,2003,eurocup,Vincent-Jones-37117,Darussafaka
Terrance Roberson,Trieste,9,30.3,14.5,11.4,15.1,0.49,14.0,77.3,18.2%,1.04,0.89,0.25,0.11,0.20,/profile/Terrance-Roberson-4111/,/stats/eurocup/2003/Trieste,2003,eurocup,Terrance-Roberson-4111,Trieste
Hrvoje Perincic,Zadar,13,30.3,15.8,13.7,18.1,0.98,9.4,77.1,12.2%,1.13,0.95,0.10,0.06,0.11,/profile/Hrvoje-Perincic-35496/,/stats/eurocup/2003/Zadar,2003,eurocup,Hrvoje-Perincic-35496,Zadar
Sasha Vujacic,Udine,11,30.1,17.1,12.4,16.4,1.03,11.0,74.8,14.6%,1.11,0.80,0.27,0.24,0.14,/profile/Sasha-Vujacic-4724/,/stats/eurocup/2003/Udine,2003,eurocup,Sasha-Vujacic-4724,Udine
Reggie Freeman,FMP Belgrade,14,29.6,16.5,10.9,14.7,1.16,11.3,71.0,15.9%,1.10,0.79,0.39,0.15,0.12,/profile/Reggie-Freeman-36356/,/stats/eurocup/2003/FMP%20Belgrade,2003,eurocup,Reggie-Freeman-36356,FMP%20Belgrade
Marko Milic,Roseto,10,29.6,20.1,13.1,17.7,1.37,11.7,71.4,16.4%,1.13,0.86,0.44,0.18,0.24,/profile/Marko-Milic-3594/,/stats/eurocup/2003/Roseto,2003,eurocup,Marko-Milic-3594,Roseto
Zan Tabak,Joventut,12,29.6,15.2,13.9,18.8,0.77,12.0,73.3,16.4%,0.95,0.78,0.33,0.12,0.22,/profile/Zan-Tabak-4537/,/stats/eurocup/2003/Joventut,2003,eurocup,Zan-Tabak-4537,Joventut
Vladimir Bogojevic,Koln,12,29.5,8.7,8.3,11.3,-0.38,9.8,76.9,12.7%,0.79,0.66,0.19,0.38,0.33,/profile/Vladimir-Bogojevic-37120/,/stats/eurocup/2003/Koln,2003,eurocup,Vladimir-Bogojevic-37120,Koln
Tony Dorsey,Oostende,10,29.2,16.1,12.1,16.6,0.76,11.8,77.0,15.3%,1.02,0.81,0.42,0.16,0.14,/profile/Tony-Dorsey-37099/,/stats/eurocup/2003/Oostende,2003,eurocup,Tony-Dorsey-37099,Oostende
Damir Mulaomerovic,Udine,5,29.2,24.7,15.8,21.6,1.01,13.8,74.8,18.5%,1.23,0.81,0.30,0.23,0.09,/profile/Damir-Mulaomerovic-5585/,/stats/eurocup/2003/Udine,2003,eurocup,Damir-Mulaomerovic-5585,Udine
Ronald Ellis,Charleroi,12,29.2,17.6,13.0,17.8,1.18,10.3,74.7,13.8%,1.10,0.96,0.11,0.15,0.17,/profile/Ronald-Ellis-36388/,/stats/eurocup/2003/Charleroi,2003,eurocup,Ronald-Ellis-36388,Charleroi
Nathan Erdmann,Trieste,9,29.1,25.2,17.1,23.5,1.87,16.3,77.3,21.0%,1.22,0.83,0.25,0.10,0.16,/profile/Nathan-Erdmann-37519/,/stats/eurocup/2003/Trieste,2003,eurocup,Nathan-Erdmann-37519,Trieste
