Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Milos Vujanic,Partizan,14,34.3,30.2,4.2,9.8,42.7%,3.5,8.6,40.8%,11.3,13.4,84.4%,0.6,1.6,2.2,3.8,1.3,0.0,3.3,3.6,/profile/Milos-Vujanic-5434/,/stats/euroleague/2003/Partizan,2003,euroleague,Milos-Vujanic-5434,Partizan
Jerod Ward,Cibona Zagreb,3,21.7,28.8,4.9,12.9,38.1%,4.9,9.8,50.0%,4.3,4.3,100.0%,2.5,3.7,6.1,0.6,0.6,0.6,1.8,3.1,/profile/Jerod-Ward-36088/,/stats/euroleague/2003/Cibona%20Zagreb,2003,euroleague,Jerod-Ward-36088,Cibona%20Zagreb
Muratcan Guler,Fenerbahce,1,22.0,24.9,3.8,3.8,100.0%,5.7,15.3,37.5%,0.0,0.0,0.0%,0.0,0.0,0.0,1.9,1.9,1.9,3.8,5.7,/profile/Muratcan-Guler-36254/,/stats/euroleague/2003/Fenerbahce,2003,euroleague,Muratcan-Guler-36254,Fenerbahce
Nikola Vujcic,Maccabi Tel Aviv,20,28.5,24.4,8.1,13.8,58.8%,1.2,3.1,38.6%,4.6,6.7,69.1%,3.2,6.7,9.8,2.5,1.9,1.1,2.5,3.9,/profile/Nikola-Vujcic-5230/,/stats/euroleague/2003/Maccabi%20Tel%20Aviv,2003,euroleague,Nikola-Vujcic-5230,Maccabi%20Tel%20Aviv
Richard Lugo,Wroclaw,5,15.4,24.3,11.3,14.0,80.8%,0.0,0.0,0.0%,1.6,3.2,50.0%,2.2,8.6,10.8,0.5,0.5,2.7,1.6,9.2,/profile/Richard-Lugo-37017/,/stats/euroleague/2003/Wroclaw,2003,euroleague,Richard-Lugo-37017,Wroclaw
Louis Bullock,Malaga,20,24.9,24.0,4.9,10.2,48.0%,3.2,7.2,45.3%,4.5,5.2,85.7%,1.2,2.0,3.2,3.7,1.7,0.1,3.4,3.0,/profile/Louis-Bullock-5223/,/stats/euroleague/2003/Malaga,2003,euroleague,Louis-Bullock-5223,Malaga
Darius Songaila,CSKA Moscow,18,21.6,23.9,8.4,16.8,50.0%,0.6,2.2,28.6%,5.2,6.1,84.7%,2.5,4.8,7.3,2.1,1.0,0.3,2.7,6.3,/profile/Darius-Songaila-4435/,/stats/euroleague/2003/CSKA%20Moscow,2003,euroleague,Darius-Songaila-4435,CSKA%20Moscow
Luis Scola,Vitoria,16,24.7,23.6,9.7,17.8,54.6%,0.0,0.0,0.0%,4.1,6.0,67.7%,2.8,5.0,7.8,1.9,1.5,0.5,3.5,5.3,/profile/Luis-Scola-5184/,/stats/euroleague/2003/Vitoria,2003,euroleague,Luis-Scola-5184,Vitoria
Marcus Brown,Anadolu Efes,19,35.4,22.8,5.1,9.3,55.3%,2.3,5.2,44.2%,5.6,6.6,84.3%,0.5,2.6,3.1,3.0,1.5,0.1,2.3,2.8,/profile/Marcus-Brown-1831/,/stats/euroleague/2003/Anadolu%20Efes,2003,euroleague,Marcus-Brown-1831,Anadolu%20Efes
Tanoka Beard,Zalgiris,3,30.0,22.7,9.8,14.7,66.7%,0.0,0.9,0.0%,3.1,3.6,87.5%,4.4,13.3,17.8,2.2,2.2,0.4,3.1,3.1,/profile/Tanoka-Beard-5638/,/stats/euroleague/2003/Zalgiris,2003,euroleague,Tanoka-Beard-5638,Zalgiris
Darren McLinton,Cibona Zagreb,4,22.5,22.6,3.5,7.5,47.1%,4.4,8.4,52.6%,2.2,2.7,83.3%,0.0,1.3,1.3,3.1,0.9,0.0,1.8,1.8,/profile/Darren-McLinton-35868/,/stats/euroleague/2003/Cibona%20Zagreb,2003,euroleague,Darren-McLinton-35868,Cibona%20Zagreb
Chris Gatling,CSKA Moscow,6,23.2,22.4,7.6,12.2,61.9%,0.6,2.0,28.6%,5.5,10.2,54.3%,2.9,6.1,9.0,1.7,0.9,0.9,2.3,4.9,/profile/Chris-Gatling-2533/,/stats/euroleague/2003/CSKA%20Moscow,2003,euroleague,Chris-Gatling-2533,CSKA%20Moscow
DeJuan Collins,Alba Berlin,8,27.4,22.4,6.4,13.4,48.1%,1.6,5.0,31.0%,4.9,7.3,66.7%,1.7,3.3,5.0,3.6,2.1,0.7,3.1,5.9,/profile/DeJuan-Collins-5203/,/stats/euroleague/2003/Alba%20Berlin,2003,euroleague,DeJuan-Collins-5203,Alba%20Berlin
Andres Nocioni,Vitoria,19,29.0,22.4,6.1,10.9,55.8%,2.2,5.0,43.7%,3.7,5.3,69.7%,2.2,7.9,10.1,1.7,1.0,1.3,3.6,4.1,/profile/Andres-Nocioni-3763/,/stats/euroleague/2003/Vitoria,2003,euroleague,Andres-Nocioni-3763,Vitoria
Alphonso Ford,Siena,22,32.1,22.3,6.6,12.6,52.5%,1.8,4.9,36.8%,3.7,4.8,77.4%,1.5,2.3,3.8,2.8,2.5,0.4,3.4,3.5,/profile/Alphonso-Ford-2438/,/stats/euroleague/2003/Siena,2003,euroleague,Alphonso-Ford-2438,Siena
Hakki Harun Erdenay,Fenerbahce,19,20.1,22.2,3.0,7.0,42.9%,4.3,9.8,43.8%,3.3,4.5,73.2%,0.8,2.3,3.1,3.1,1.5,0.0,2.1,3.8,/profile/Hakki-Harun-Erdenay-36018/,/stats/euroleague/2003/Fenerbahce,2003,euroleague,Hakki-Harun-Erdenay-36018,Fenerbahce
Jovo Stanojevic,Alba Berlin,14,26.9,22.2,8.7,16.7,52.1%,0.0,0.0,0.0%,4.8,6.8,70.1%,3.3,4.0,7.4,1.1,1.5,0.5,4.3,5.3,/profile/Jovo-Stanojevic-36120/,/stats/euroleague/2003/Alba%20Berlin,2003,euroleague,Jovo-Stanojevic-36120,Alba%20Berlin
Robert Gulyas,Villeurbanne,18,19.7,21.9,7.9,14.0,56.2%,0.3,0.6,60.0%,5.1,6.1,83.0%,2.5,6.3,8.8,1.2,0.3,1.3,2.2,6.4,/profile/Robert-Gulyas-37022/,/stats/euroleague/2003/Villeurbanne,2003,euroleague,Robert-Gulyas-37022,Villeurbanne
Victor Alexander,CSKA Moscow,15,30.7,21.8,9.0,17.3,52.3%,0.4,1.1,30.8%,2.7,4.0,67.4%,2.4,6.3,8.7,1.5,1.4,0.2,2.0,3.9,/profile/Victor-Alexander-1477/,/stats/euroleague/2003/CSKA%20Moscow,2003,euroleague,Victor-Alexander-1477,CSKA%20Moscow
Milan Gurovic,Malaga,16,24.1,21.8,2.9,5.9,49.1%,3.5,9.0,39.3%,5.4,6.6,82.0%,1.6,4.3,5.9,1.2,1.2,0.2,1.9,2.6,/profile/Milan-Gurovic-5347/,/stats/euroleague/2003/Malaga,2003,euroleague,Milan-Gurovic-5347,Malaga
Rod Sellers,Pau-Orthez,14,29.9,21.6,8.3,14.0,59.6%,0.0,0.0,0.0%,4.9,6.7,73.6%,2.4,6.0,8.4,0.9,0.6,0.6,2.7,4.5,/profile/Rod-Sellers-36380/,/stats/euroleague/2003/Pau-Orthez,2003,euroleague,Rod-Sellers-36380,Pau-Orthez
Tyus Edney,Treviso,18,28.7,21.4,6.2,12.3,50.6%,1.6,3.0,52.4%,4.3,5.1,84.3%,0.9,3.2,4.0,5.6,2.0,0.1,3.5,3.5,/profile/Tyus-Edney-2323/,/stats/euroleague/2003/Treviso,2003,euroleague,Tyus-Edney-2323,Treviso
Antonis Fotsis,Panathinaikos,20,28.2,21.3,4.8,8.9,53.7%,2.6,5.5,46.7%,4.0,4.5,88.5%,2.9,5.4,8.3,1.6,1.8,0.9,2.8,3.7,/profile/Antonis-Fotsis-2456/,/stats/euroleague/2003/Panathinaikos,2003,euroleague,Antonis-Fotsis-2456,Panathinaikos
Kaspars Kambala,Anadolu Efes,20,33.0,21.2,9.0,15.5,58.2%,0.0,0.1,0.0%,3.2,5.9,54.7%,3.0,6.8,9.8,0.6,1.4,0.3,2.5,3.6,/profile/Kaspars-Kambala-36142/,/stats/euroleague/2003/Anadolu%20Efes,2003,euroleague,Kaspars-Kambala-36142,Anadolu%20Efes
Andrius Giedraitis,Wroclaw,14,25.9,21.1,4.8,7.8,61.8%,1.8,3.3,55.2%,6.0,7.2,82.5%,1.6,2.2,3.8,2.9,1.5,0.0,2.0,3.7,/profile/Andrius-Giedraitis-35733/,/stats/euroleague/2003/Wroclaw,2003,euroleague,Andrius-Giedraitis-35733,Wroclaw
Alex Mumbru,Real Madrid,11,23.4,21.0,3.2,6.1,52.5%,3.4,8.4,40.0%,4.4,6.4,69.0%,1.1,5.4,6.4,2.9,1.8,0.0,2.5,3.5,/profile/Alex-Mumbru-5544/,/stats/euroleague/2003/Real%20Madrid,2003,euroleague,Alex-Mumbru-5544,Real%20Madrid
Bill Phillips,Vitoria,4,15.3,20.9,6.3,8.2,76.9%,1.3,2.5,50.0%,4.4,6.3,70.0%,3.8,2.5,6.3,1.9,1.9,1.3,3.8,9.5,/profile/Bill-Phillips-34218/,/stats/euroleague/2003/Vitoria,2003,euroleague,Bill-Phillips-34218,Vitoria
Goran Jurak,Olimpija Ljubljana,20,21.3,20.8,7.0,14.3,48.7%,0.4,0.7,57.1%,5.7,9.9,57.7%,4.1,5.5,9.6,1.8,2.2,0.1,4.9,7.0,/profile/Goran-Jurak-35959/,/stats/euroleague/2003/Olimpija%20Ljubljana,2003,euroleague,Goran-Jurak-35959,Olimpija%20Ljubljana
John Brown,Buducnost,14,28.6,20.7,8.0,14.7,53.9%,1.0,1.7,55.6%,1.9,3.0,64.5%,3.9,5.2,9.1,2.1,1.6,0.6,4.7,4.2,/profile/John-Brown-19135/,/stats/euroleague/2003/Buducnost,2003,euroleague,John-Brown-19135,Buducnost
Dejan Bodiroga,Barcelona,22,31.5,20.7,5.7,9.7,58.4%,0.9,2.1,41.7%,6.7,8.3,81.0%,0.8,4.2,4.9,3.1,1.0,0.1,2.2,2.6,/profile/Dejan-Bodiroga-5418/,/stats/euroleague/2003/Barcelona,2003,euroleague,Dejan-Bodiroga-5418,Barcelona
Savo Djikanovic,Olympiakos,1,2.0,20.6,0.0,0.0,0.0%,0.0,0.0,0.0%,20.6,20.6,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,/profile/Savo-Djikanovic-37051/,/stats/euroleague/2003/Olympiakos,2003,euroleague,Savo-Djikanovic-37051,Olympiakos
Sarunas Jasikevicius,Barcelona,21,26.4,20.6,2.8,5.6,49.4%,3.3,8.7,37.8%,5.1,5.3,95.9%,0.3,2.4,2.7,4.9,1.1,0.0,3.7,4.7,/profile/Sarunas-Jasikevicius-5267/,/stats/euroleague/2003/Barcelona,2003,euroleague,Sarunas-Jasikevicius-5267,Barcelona
Kornel David,Zalgiris,13,32.9,20.6,6.9,13.0,53.2%,0.1,0.1,100.0%,6.4,8.1,79.3%,3.8,6.2,10.0,1.3,1.1,0.9,2.7,3.7,/profile/Kornel-David-2148/,/stats/euroleague/2003/Zalgiris,2003,euroleague,Kornel-David-2148,Zalgiris
Gintaras Einikis,Zalgiris,14,26.0,20.0,6.7,12.6,53.0%,1.8,4.0,44.4%,1.3,1.8,75.0%,2.4,5.2,7.6,0.9,1.1,0.5,0.9,5.6,/profile/Gintaras-Einikis-35990/,/stats/euroleague/2003/Zalgiris,2003,euroleague,Gintaras-Einikis-35990,Zalgiris
Melvin Booker,Fenerbahce,20,35.0,19.9,5.2,9.3,55.5%,1.7,4.6,38.2%,4.3,5.7,75.8%,0.7,3.4,4.2,4.8,1.5,0.0,2.6,3.9,/profile/Melvin-Booker-1729/,/stats/euroleague/2003/Fenerbahce,2003,euroleague,Melvin-Booker-1729,Fenerbahce
Mike Smith,Wroclaw,1,23.0,19.9,7.2,14.4,50.0%,0.0,0.0,0.0%,5.4,7.2,75.0%,0.0,5.4,5.4,0.0,0.0,0.0,0.0,5.4,/profile/Mike-Smith-4403/,/stats/euroleague/2003/Wroclaw,2003,euroleague,Mike-Smith-4403,Wroclaw
