Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Joseph Blair,Fenerbahce,18,37.1,15.7,10.9,1.04,0.60,0.58,0.45,0.01,1.28,0.12,0.74,-2.47,1.3,0.9,2.2,/profile/Joseph-Blair-5625/,/stats/euroleague/2003/Fenerbahce,2003,euroleague,Joseph-Blair-5625,Fenerbahce
Ed Cota,Zalgiris,14,35.9,12.1,10.6,0.83,0.52,0.48,0.25,0.16,6.50,0.61,2.33,4.32,1.2,0.1,1.6,/profile/Ed-Cota-5220/,/stats/euroleague/2003/Zalgiris,2003,euroleague,Ed-Cota-5220,Zalgiris
Mirsad Turkcan,Siena,21,35.7,14.6,9.6,1.01,0.62,0.58,0.49,0.27,2.14,0.22,0.87,-2.94,2.1,0.8,3.0,/profile/Mirsad-Turkcan-4656/,/stats/euroleague/2003/Siena,2003,euroleague,Mirsad-Turkcan-4656,Siena
Marcus Brown,Anadolu Efes,19,35.4,19.6,12.5,1.13,0.65,0.59,0.45,0.36,2.58,0.21,1.29,-0.81,1.3,0.1,2.4,/profile/Marcus-Brown-1831/,/stats/euroleague/2003/Anadolu%20Efes,2003,euroleague,Marcus-Brown-1831,Anadolu%20Efes
Michail Kakiouzis,AEK Athens,11,35.3,16.8,11.5,1.08,0.61,0.56,0.43,0.26,1.18,0.10,0.76,-2.22,1.6,0.3,2.6,/profile/Michail-Kakiouzis-5543/,/stats/euroleague/2003/AEK%20Athens,2003,euroleague,Michail-Kakiouzis-5543,AEK%20Athens
Melvin Booker,Fenerbahce,20,35.0,16.6,11.6,1.03,0.61,0.56,0.41,0.33,4.00,0.35,1.86,1.56,1.3,0.0,3.2,/profile/Melvin-Booker-1729/,/stats/euroleague/2003/Fenerbahce,2003,euroleague,Melvin-Booker-1729,Fenerbahce
Milos Vujanic,Partizan,14,34.3,25.8,15.7,1.06,0.62,0.51,0.73,0.47,3.21,0.20,1.15,-1.88,1.1,0.0,3.1,/profile/Milos-Vujanic-5434/,/stats/euroleague/2003/Partizan,2003,euroleague,Milos-Vujanic-5434,Partizan
Gianluca Basile,Fortitudo Bologna,19,33.6,13.8,12.0,0.89,0.53,0.50,0.19,0.51,3.42,0.29,1.44,-0.26,1.7,0.2,3.2,/profile/Gianluca-Basile-5549/,/stats/euroleague/2003/Fortitudo%20Bologna,2003,euroleague,Gianluca-Basile-5549,Fortitudo%20Bologna
Quadre-Michael Lollis,Alba Berlin,12,33.6,15.3,9.6,1.06,0.65,0.63,0.51,0.12,2.33,0.24,0.97,-2.44,0.9,0.3,3.5,/profile/Quadre-Michael-Lollis-36336/,/stats/euroleague/2003/Alba%20Berlin,2003,euroleague,Quadre-Michael-Lollis-36336,Alba%20Berlin
J.R. Holden,CSKA Moscow,22,33.4,15.5,13.4,0.89,0.52,0.49,0.27,0.54,4.41,0.33,2.06,2.43,1.7,0.0,2.0,/profile/J.R.-Holden-5269/,/stats/euroleague/2003/CSKA%20Moscow,2003,euroleague,J.R.-Holden-5269,CSKA%20Moscow
Vrbica Stefanov,Siena,19,33.3,12.0,9.4,1.03,0.59,0.56,0.17,0.31,3.63,0.39,2.46,2.86,1.5,0.1,2.2,/profile/Vrbica-Stefanov-35642/,/stats/euroleague/2003/Siena,2003,euroleague,Vrbica-Stefanov-35642,Siena
Kaspars Kambala,Anadolu Efes,20,33.0,17.1,12.5,1.01,0.59,0.58,0.38,0.00,0.45,0.04,0.22,-5.44,1.1,0.3,2.9,/profile/Kaspars-Kambala-36142/,/stats/euroleague/2003/Anadolu%20Efes,2003,euroleague,Kaspars-Kambala-36142,Anadolu%20Efes
Kornel David,Zalgiris,13,32.9,16.9,10.8,1.04,0.62,0.54,0.62,0.01,1.08,0.10,0.48,-4.59,0.9,0.8,3.1,/profile/Kornel-David-2148/,/stats/euroleague/2003/Zalgiris,2003,euroleague,Kornel-David-2148,Zalgiris
Dimos Dikoudis,AEK Athens,8,32.9,15.0,12.0,0.89,0.54,0.48,0.36,0.07,0.88,0.07,0.32,-6.82,0.9,0.3,3.9,/profile/Dimos-Dikoudis-5579/,/stats/euroleague/2003/AEK%20Athens,2003,euroleague,Dimos-Dikoudis-5579,AEK%20Athens
Derrick Dial,Virtus Bologna,17,32.8,13.9,11.6,0.91,0.53,0.52,0.31,0.36,2.12,0.18,1.09,-1.53,1.2,0.3,2.1,/profile/Derrick-Dial-2219/,/stats/euroleague/2003/Virtus%20Bologna,2003,euroleague,Derrick-Dial-2219,Virtus%20Bologna
