Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Joseph Blair,Fenerbahce,18,37.1,22.2,20.7,22.3,3.78,13.0,69.6,18.7%,1.20,0.84,0.38,0.10,0.13,/profile/Joseph-Blair-5625/,/stats/euroleague/2003/Fenerbahce,2003,euroleague,Joseph-Blair-5625,Fenerbahce
Ed Cota,Zalgiris,14,35.9,15.8,15.4,17.2,1.25,12.4,73.0,16.9%,0.98,0.86,0.21,0.53,0.23,/profile/Ed-Cota-5220/,/stats/euroleague/2003/Zalgiris,2003,euroleague,Ed-Cota-5220,Zalgiris
Mirsad Turkcan,Siena,21,35.7,22.5,23.0,25.7,4.37,13.0,71.7,18.2%,1.12,0.74,0.36,0.16,0.19,/profile/Mirsad-Turkcan-4656/,/stats/euroleague/2003/Siena,2003,euroleague,Mirsad-Turkcan-4656,Siena
Marcus Brown,Anadolu Efes,19,35.4,21.3,17.2,19.5,3.51,16.2,72.2,22.4%,1.22,0.78,0.35,0.16,0.12,/profile/Marcus-Brown-1831/,/stats/euroleague/2003/Anadolu%20Efes,2003,euroleague,Marcus-Brown-1831,Anadolu%20Efes
Michail Kakiouzis,AEK Athens,11,35.3,21.3,17.1,19.4,2.02,13.3,70.7,18.7%,1.27,0.87,0.38,0.09,0.12,/profile/Michail-Kakiouzis-5543/,/stats/euroleague/2003/AEK%20Athens,2003,euroleague,Michail-Kakiouzis-5543,AEK%20Athens
Melvin Booker,Fenerbahce,20,35.0,19.4,16.2,18.5,3.00,14.8,69.6,21.3%,1.12,0.78,0.32,0.27,0.15,/profile/Melvin-Booker-1729/,/stats/euroleague/2003/Fenerbahce,2003,euroleague,Melvin-Booker-1729,Fenerbahce
Milos Vujanic,Partizan,14,34.3,25.5,18.2,21.3,3.51,21.2,74.0,28.6%,1.22,0.74,0.54,0.15,0.13,/profile/Milos-Vujanic-5434/,/stats/euroleague/2003/Partizan,2003,euroleague,Milos-Vujanic-5434,Partizan
Gianluca Basile,Fortitudo Bologna,19,33.6,13.5,12.4,14.7,0.85,14.4,74.2,19.5%,0.96,0.83,0.16,0.24,0.16,/profile/Gianluca-Basile-5549/,/stats/euroleague/2003/Fortitudo%20Bologna,2003,euroleague,Gianluca-Basile-5549,Fortitudo%20Bologna
Quadre-Michael Lollis,Alba Berlin,12,33.6,20.6,20.6,24.5,1.97,13.1,76.1,17.2%,1.17,0.73,0.38,0.18,0.18,/profile/Quadre-Michael-Lollis-36336/,/stats/euroleague/2003/Alba%20Berlin,2003,euroleague,Quadre-Michael-Lollis-36336,Alba%20Berlin
J.R. Holden,CSKA Moscow,22,33.4,15.9,12.2,14.6,1.87,14.7,72.1,20.4%,1.05,0.91,0.25,0.30,0.15,/profile/J.R.-Holden-5269/,/stats/euroleague/2003/CSKA%20Moscow,2003,euroleague,J.R.-Holden-5269,CSKA%20Moscow
Vrbica Stefanov,Siena,19,33.3,16.3,13.4,16.1,1.73,10.6,71.7,14.8%,1.13,0.89,0.15,0.34,0.14,/profile/Vrbica-Stefanov-35642/,/stats/euroleague/2003/Siena,2003,euroleague,Vrbica-Stefanov-35642,Siena
Kaspars Kambala,Anadolu Efes,20,33.0,20.3,17.3,21.0,3.12,14.9,72.2,20.6%,1.15,0.84,0.32,0.03,0.14,/profile/Kaspars-Kambala-36142/,/stats/euroleague/2003/Anadolu%20Efes,2003,euroleague,Kaspars-Kambala-36142,Anadolu%20Efes
Kornel David,Zalgiris,13,32.9,22.4,19.3,23.5,2.46,14.0,73.0,19.2%,1.21,0.77,0.48,0.08,0.16,/profile/Kornel-David-2148/,/stats/euroleague/2003/Zalgiris,2003,euroleague,Kornel-David-2148,Zalgiris
