Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Maxime Renaud,Pau-Orthez,1,1.0,79.6,0.0,79.6,0.0%,0.0,0.0,0.0%,79.6,79.6,100.0%,119.3,0.0,119.3,0.0,0.0,0.0,0.0,0.0,/profile/Maxime-Renaud-36934/,/stats/french/2005/Pau-Orthez,2005,french,Maxime-Renaud-36934,Pau-Orthez
Mateusz Kasperzec,Nancy,1,1.0,77.6,38.8,38.8,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,38.8,0.0,0.0,0.0,/profile/Mateusz-Kasperzec-38040/,/stats/french/2005/Nancy,2005,french,Mateusz-Kasperzec-38040,Nancy
Loic Akono,Gravelines,5,2.0,36.0,12.0,16.0,75.0%,4.0,8.0,50.0%,0.0,0.0,0.0%,4.0,0.0,4.0,0.0,0.0,0.0,8.0,12.0,/profile/Loic-Akono-37999/,/stats/french/2005/Gravelines,2005,french,Loic-Akono-37999,Gravelines
Paolo Ticina,Paris Basket Racing,6,1.2,30.3,6.1,6.1,100.0%,6.1,6.1,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0,6.1,6.1,0.0,6.1,6.1,/profile/Paolo-Ticina-38105/,/stats/french/2005/Paris%20Basket%20Racing,2005,french,Paolo-Ticina-38105,Paris%20Basket%20Racing
Philippe Braud,Chalon,9,2.8,29.4,0.0,0.0,0.0%,9.8,14.7,66.7%,0.0,0.0,0.0%,0.0,1.6,1.6,1.6,0.0,0.0,1.6,8.2,/profile/Philippe-Braud-38116/,/stats/french/2005/Chalon,2005,french,Philippe-Braud-38116,Chalon
Julien Barrat,Hyeres-Toulon,2,1.5,26.8,13.4,13.4,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Julien-Barrat-37971/,/stats/french/2005/Hyeres-Toulon,2005,french,Julien-Barrat-37971,Hyeres-Toulon
Olivier Gouez,Villeurbanne,1,3.0,26.5,13.3,13.3,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,/profile/Olivier-Gouez-281/,/stats/french/2005/Villeurbanne,2005,french,Olivier-Gouez-281,Villeurbanne
Rob Feaster,Reims,19,32.2,26.3,7.3,13.7,53.6%,2.8,6.1,45.2%,3.4,4.2,81.0%,2.0,3.4,5.4,3.6,1.6,0.3,3.4,4.2,/profile/Rob-Feaster-38144/,/stats/french/2005/Reims,2005,french,Rob-Feaster-38144,Reims
Philippe Haquet,Bourg,5,1.6,25.5,5.1,10.2,50.0%,5.1,5.1,100.0%,0.0,10.2,0.0%,0.0,5.1,5.1,0.0,0.0,0.0,5.1,0.0,/profile/Philippe-Haquet-38117/,/stats/french/2005/Bourg,2005,french,Philippe-Haquet-38117,Bourg
Rowan Barrett,Dijon,31,33.7,25.5,5.7,11.5,50.0%,3.1,6.9,44.8%,4.7,5.7,83.8%,1.0,3.6,4.6,3.6,1.3,0.4,3.3,3.7,/profile/Rowan-Barrett-36390/,/stats/french/2005/Dijon,2005,french,Rowan-Barrett-36390,Dijon
Ime Udoka,Vichy,9,38.6,24.2,5.4,10.1,53.8%,2.9,7.1,40.6%,4.7,7.5,62.7%,1.6,6.9,8.5,5.3,1.2,0.3,3.7,3.1,/profile/Ime-Udoka-4675/,/stats/french/2005/Vichy,2005,french,Ime-Udoka-4675,Vichy
Claude Marquis,Cholet,34,26.9,23.6,9.2,15.7,58.5%,0.0,0.1,0.0%,5.2,7.9,66.1%,3.7,5.4,9.0,1.2,0.9,0.6,4.3,4.0,/profile/Claude-Marquis-5480/,/stats/french/2005/Cholet,2005,french,Claude-Marquis-5480,Cholet
Nikola Vucurovic,Clermont,31,13.9,23.2,3.3,5.8,56.5%,4.8,12.0,40.3%,2.1,3.2,67.6%,0.3,2.2,2.5,1.3,1.4,0.1,2.7,5.9,/profile/Nikola-Vucurovic-37518/,/stats/french/2005/Clermont,2005,french,Nikola-Vucurovic-37518,Clermont
Jean-Paul Landu,Villeurbanne,2,3.5,22.7,11.4,22.7,50.0%,0.0,5.7,0.0%,0.0,0.0,0.0%,5.7,0.0,5.7,0.0,0.0,0.0,5.7,11.4,/profile/Jean-Paul-Landu-37948/,/stats/french/2005/Villeurbanne,2005,french,Jean-Paul-Landu-37948,Villeurbanne
Ryan Fletcher,Reims,15,32.0,22.7,9.1,17.2,52.7%,0.1,0.7,12.5%,4.3,5.6,76.1%,2.3,5.2,7.5,1.8,1.7,0.3,4.4,2.7,/profile/Ryan-Fletcher-37332/,/stats/french/2005/Reims,2005,french,Ryan-Fletcher-37332,Reims
Jason Rowe,Hyeres-Toulon,34,35.6,22.5,5.2,9.4,54.8%,2.8,7.4,37.8%,3.9,4.5,85.3%,0.9,3.1,4.1,6.8,2.7,0.0,3.9,2.5,/profile/Jason-Rowe-36812/,/stats/french/2005/Hyeres-Toulon,2005,french,Jason-Rowe-36812,Hyeres-Toulon
