Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Jermaine Guice,Le Havre,38,39.2,20.1,11.4,1.10,0.68,0.59,0.69,0.47,5.55,0.49,1.94,2.11,2.6,0.1,2.5,/profile/Jermaine-Guice-36824/,/stats/french/2005/Le%20Havre,2005,french,Jermaine-Guice-36824,Le%20Havre
Ime Udoka,Vichy,9,38.6,24.2,17.2,0.98,0.59,0.57,0.43,0.41,5.33,0.31,1.45,-0.28,1.2,0.3,3.1,/profile/Ime-Udoka-4675/,/stats/french/2005/Vichy,2005,french,Ime-Udoka-4675,Vichy
Tariq Kirksay,Nancy,41,36.8,14.3,10.4,0.91,0.58,0.54,0.39,0.23,4.54,0.44,1.43,-0.39,2.6,0.6,2.5,/profile/Tariq-Kirksay-5221/,/stats/french/2005/Nancy,2005,french,Tariq-Kirksay-5221,Nancy
Laurent Sciarra,Gravelines,28,35.8,10.8,6.4,1.07,0.68,0.60,0.56,0.56,7.36,1.16,3.68,8.13,1.6,0.0,2.9,/profile/Laurent-Sciarra-36159/,/stats/french/2005/Gravelines,2005,french,Laurent-Sciarra-36159,Gravelines
Jason Rowe,Hyeres-Toulon,34,35.6,19.9,14.9,0.98,0.60,0.56,0.27,0.44,6.00,0.40,1.76,1.66,2.4,0.0,2.2,/profile/Jason-Rowe-36812/,/stats/french/2005/Hyeres-Toulon,2005,french,Jason-Rowe-36812,Hyeres-Toulon
Tony Stanley,Le Havre,38,35.3,17.8,14.2,1.01,0.57,0.55,0.24,0.60,1.76,0.12,0.96,-1.87,2.2,0.1,3.0,/profile/Tony-Stanley-37100/,/stats/french/2005/Le%20Havre,2005,french,Tony-Stanley-37100,Le%20Havre
Pat Durham,Le Havre,38,35.0,10.4,9.3,0.83,0.51,0.47,0.24,0.73,2.34,0.25,1.07,-1.77,1.1,0.5,2.6,/profile/Pat-Durham-2300/,/stats/french/2005/Le%20Havre,2005,french,Pat-Durham-2300,Le%20Havre
Saddi Washington,Bourg,15,34.5,15.7,12.5,0.99,0.57,0.52,0.24,0.43,1.47,0.12,0.79,-2.63,1.1,0.2,2.7,/profile/Saddi-Washington-37040/,/stats/french/2005/Bourg,2005,french,Saddi-Washington-37040,Bourg
Mike Smith,Vichy,33,34.1,16.8,13.5,0.94,0.57,0.54,0.21,0.67,2.33,0.17,0.77,-4.18,1.4,0.8,2.2,/profile/Mike-Smith-4403/,/stats/french/2005/Vichy,2005,french,Mike-Smith-4403,Vichy
K'Zell Wesson,Gravelines,36,34.0,16.3,11.4,0.96,0.60,0.58,0.43,0.11,2.89,0.25,0.93,-3.49,0.8,0.8,3.1,/profile/K-Zell-Wesson-5583/,/stats/french/2005/Gravelines,2005,french,K-Zell-Wesson-5583,Gravelines
Rowan Barrett,Dijon,31,33.7,21.5,15.5,1.04,0.61,0.56,0.31,0.38,3.06,0.20,1.10,-2.17,1.1,0.3,3.2,/profile/Rowan-Barrett-36390/,/stats/french/2005/Dijon,2005,french,Rowan-Barrett-36390,Dijon
Eric Micoud,Dijon,32,33.7,9.8,6.7,0.99,0.65,0.61,0.26,0.78,4.50,0.67,1.97,2.13,0.7,0.0,2.1,/profile/Eric-Micoud-36705/,/stats/french/2005/Dijon,2005,french,Eric-Micoud-36705,Dijon
