Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Jermaine Guice,Le Havre,38,39.2,23.1,22.6,23.1,9.08,16.4,74.8,21.9%,1.22,0.69,0.48,0.34,0.17,/profile/Jermaine-Guice-36824/,/stats/french/2005/Le%20Havre,2005,french,Jermaine-Guice-36824,Le%20Havre
Ime Udoka,Vichy,9,38.6,22.5,24.2,25.1,2.01,22.5,77.2,29.2%,1.08,0.77,0.33,0.24,0.16,/profile/Ime-Udoka-4675/,/stats/french/2005/Vichy,2005,french,Ime-Udoka-4675,Vichy
Tariq Kirksay,Nancy,41,36.8,19.4,21.5,23.4,6.42,14.2,76.4,18.6%,1.01,0.73,0.29,0.32,0.22,/profile/Tariq-Kirksay-5221/,/stats/french/2005/Nancy,2005,french,Tariq-Kirksay-5221,Nancy
Laurent Sciarra,Gravelines,28,35.8,18.3,18.7,20.9,3.71,9.5,73.8,12.8%,1.14,0.67,0.37,0.78,0.21,/profile/Laurent-Sciarra-36159/,/stats/french/2005/Gravelines,2005,french,Laurent-Sciarra-36159,Gravelines
Jason Rowe,Hyeres-Toulon,34,35.6,22.7,20.1,22.6,7.14,18.3,72.5,25.2%,1.09,0.81,0.22,0.33,0.19,/profile/Jason-Rowe-36812/,/stats/french/2005/Hyeres-Toulon,2005,french,Jason-Rowe-36812,Hyeres-Toulon
Tony Stanley,Le Havre,38,35.3,17.8,15.3,17.3,4.68,14.3,74.8,19.1%,1.25,0.99,0.23,0.12,0.13,/profile/Tony-Stanley-37100/,/stats/french/2005/Le%20Havre,2005,french,Tony-Stanley-37100,Le%20Havre
Pat Durham,Le Havre,38,35.0,9.1,9.9,11.3,-1.14,11.8,74.8,15.7%,0.88,0.79,0.19,0.20,0.19,/profile/Pat-Durham-2300/,/stats/french/2005/Le%20Havre,2005,french,Pat-Durham-2300,Le%20Havre
Saddi Washington,Bourg,15,34.5,14.9,12.9,15.0,1.06,14.1,72.3,19.5%,1.12,0.89,0.22,0.10,0.13,/profile/Saddi-Washington-37040/,/stats/french/2005/Bourg,2005,french,Saddi-Washington-37040,Bourg
Mike Smith,Vichy,33,34.1,16.2,15.6,18.4,2.98,16.1,77.2,20.9%,1.04,0.84,0.18,0.14,0.19,/profile/Mike-Smith-4403/,/stats/french/2005/Vichy,2005,french,Mike-Smith-4403,Vichy
K'Zell Wesson,Gravelines,36,34.0,20.9,21.3,25.0,6.15,14.8,73.8,20.1%,1.10,0.77,0.33,0.19,0.21,/profile/K-Zell-Wesson-5583/,/stats/french/2005/Gravelines,2005,french,K-Zell-Wesson-5583,Gravelines
Rowan Barrett,Dijon,31,33.7,21.2,18.3,21.7,5.41,18.7,75.2,24.8%,1.15,0.83,0.26,0.16,0.15,/profile/Rowan-Barrett-36390/,/stats/french/2005/Dijon,2005,french,Rowan-Barrett-36390,Dijon
Eric Micoud,Dijon,32,33.7,11.8,11.1,13.2,0.52,8.8,75.2,11.8%,1.10,0.76,0.19,0.51,0.26,/profile/Eric-Micoud-36705/,/stats/french/2005/Dijon,2005,french,Eric-Micoud-36705,Dijon
Clint Harrison,Paris Basket Racing,36,33.3,18.2,14.9,17.9,4.43,14.1,70.2,20.1%,1.14,0.84,0.22,0.16,0.13,/profile/Clint-Harrison-36630/,/stats/french/2005/Paris%20Basket%20Racing,2005,french,Clint-Harrison-36630,Paris%20Basket%20Racing
Marques Green,Roanne,22,33.0,20.8,17.5,21.3,3.58,17.8,75.6,23.6%,0.96,0.79,0.14,0.38,0.22,/profile/Marques-Green-5469/,/stats/french/2005/Roanne,2005,french,Marques-Green-5469,Roanne
