Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Andreas Kanonidis,Panionios,2,1.2,87.6,35.0,35.0,100.0%,0.0,17.5,0.0%,17.5,17.5,100.0%,17.5,0.0,17.5,0.0,0.0,0.0,0.0,17.5,/profile/Andreas-Kanonidis-6148/,/stats/greek/2009/Panionios,2009,greek,Andreas-Kanonidis-6148,Panionios
Prodomos Dreliozis,Panionios,4,1.2,52.8,0.0,8.8,0.0%,17.6,26.4,66.7%,0.0,0.0,0.0%,0.0,0.0,0.0,8.8,0.0,0.0,0.0,8.8,/profile/Prodomos-Dreliozis-39597/,/stats/greek/2009/Panionios,2009,greek,Prodomos-Dreliozis-39597,Panionios
Karolos Galazoulas,PAOK,5,0.7,35.3,0.0,23.5,0.0%,11.8,11.8,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0,11.8,11.8,0.0,0.0,11.8,/profile/Karolos-Galazoulas-39516/,/stats/greek/2009/PAOK,2009,greek,Karolos-Galazoulas-39516,PAOK
Linos Chrysikopoulos,Aris,3,0.8,35.0,17.5,35.0,50.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,17.5,17.5,0.0,0.0,0.0,0.0,0.0,/profile/Linos-Chrysikopoulos-6116/,/stats/greek/2009/Aris,2009,greek,Linos-Chrysikopoulos-6116,Aris
Nikola Pekovic,Panathinaikos,34,16.1,27.9,9.8,13.8,71.4%,0.0,0.0,0.0%,8.2,11.6,71.0%,3.5,5.3,8.8,1.3,0.6,1.6,3.7,7.2,/profile/Nikola-Pekovic-1047/,/stats/greek/2009/Panathinaikos,2009,greek,Nikola-Pekovic-1047,Panathinaikos
Giorgi Shermadini,Panathinaikos,4,13.4,27.8,8.8,12.4,70.6%,0.0,0.7,0.0%,10.2,12.4,82.4%,4.4,8.8,13.2,2.9,1.5,1.5,2.9,4.4,/profile/Giorgi-Shermadini-5166/,/stats/greek/2009/Panathinaikos,2009,greek,Giorgi-Shermadini-5166,Panathinaikos
Ivan Vukadinov,Kavala,2,24.9,25.9,10.5,16.2,65.0%,1.6,4.0,40.0%,0.0,0.0,0.0%,3.2,1.6,4.9,0.0,0.8,0.8,1.6,3.2,/profile/Ivan-Vukadinov-38404/,/stats/greek/2009/Kavala,2009,greek,Ivan-Vukadinov-38404,Kavala
Sarunas Jasikevicius,Panathinaikos,31,19.0,23.3,4.4,7.9,55.5%,3.5,6.7,52.5%,3.9,4.7,84.3%,0.4,2.7,3.1,5.5,1.7,0.1,4.4,3.2,/profile/Sarunas-Jasikevicius-5267/,/stats/greek/2009/Panathinaikos,2009,greek,Sarunas-Jasikevicius-5267,Panathinaikos
Mike Batiste,Panathinaikos,34,21.2,22.9,9.0,12.9,69.3%,0.1,0.4,14.3%,4.8,6.6,73.6%,3.3,6.9,10.1,0.9,1.4,0.7,2.8,4.1,/profile/Mike-Batiste-1617/,/stats/greek/2009/Panathinaikos,2009,greek,Mike-Batiste-1617,Panathinaikos
Yiannis Bouroussis,Olympiakos,32,20.7,22.3,7.5,12.1,61.7%,1.1,2.4,43.9%,4.2,5.7,74.2%,4.2,9.9,14.1,1.8,1.3,1.8,2.8,3.3,/profile/Yiannis-Bouroussis-118/,/stats/greek/2009/Olympiakos,2009,greek,Yiannis-Bouroussis-118,Olympiakos
