Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Andrea Confente,Udine,5,1.4,57.6,11.5,17.3,66.7%,11.5,17.3,66.7%,0.0,0.0,0.0%,0.0,5.8,5.8,0.0,5.8,0.0,11.5,5.8,/profile/Andrea-Confente-35722/,/stats/italian/2003/Udine,2003,italian,Andrea-Confente-35722,Udine
Diego Godina,Trieste,2,1.0,40.0,20.0,20.0,100.0%,0.0,0.0,0.0%,0.0,40.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Diego-Godina-35891/,/stats/italian/2003/Trieste,2003,italian,Diego-Godina-35891,Trieste
Leonardo Niccolai,Livorno,1,1.0,39.2,0.0,0.0,0.0%,0.0,0.0,0.0%,39.2,78.5,50.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Leonardo-Niccolai-36162/,/stats/italian/2003/Livorno,2003,italian,Leonardo-Niccolai-36162,Livorno
Massimo Mariani,Roseto,1,7.0,35.1,0.0,5.9,0.0%,11.7,17.6,66.7%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,5.9,5.9,/profile/Massimo-Mariani-36925/,/stats/italian/2003/Roseto,2003,italian,Massimo-Mariani-36925,Roseto
Pierpaolo Corbetta,Cantu,1,3.0,26.7,13.3,13.3,100.0%,0.0,13.3,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Pierpaolo-Corbetta-37000/,/stats/italian/2003/Cantu,2003,italian,Pierpaolo-Corbetta-37000,Cantu
Alphonso Ford,Siena,41,29.6,26.5,7.7,13.2,58.5%,2.1,5.0,41.9%,4.8,5.9,81.7%,1.4,3.0,4.4,3.0,3.4,0.3,4.1,4.1,/profile/Alphonso-Ford-2438/,/stats/italian/2003/Siena,2003,italian,Alphonso-Ford-2438,Siena
Carlton Myers,Roma,38,32.9,24.4,3.7,7.6,49.1%,3.5,8.9,39.3%,6.5,7.5,86.8%,0.5,2.6,3.2,3.1,3.0,0.2,3.2,4.0,/profile/Carlton-Myers-35399/,/stats/italian/2003/Roma,2003,italian,Carlton-Myers-35399,Roma
Tyson Wheeler,Cantu,5,30.2,24.4,2.4,6.1,39.1%,5.3,10.3,51.3%,3.7,4.5,82.4%,0.8,2.4,3.2,5.3,1.9,0.0,1.9,4.5,/profile/Tyson-Wheeler-4831/,/stats/italian/2003/Cantu,2003,italian,Tyson-Wheeler-4831,Cantu
Jamel Thomas,Biella,36,32.3,24.0,5.9,12.3,47.9%,3.1,8.8,35.1%,2.9,3.9,72.7%,1.8,3.3,5.2,3.0,2.1,0.3,3.8,3.7,/profile/Jamel-Thomas-4577/,/stats/italian/2003/Biella,2003,italian,Jamel-Thomas-4577,Biella
John Eubanks,Reggio Calabria,32,30.6,23.8,6.9,12.6,54.9%,1.6,4.2,38.8%,5.0,5.4,93.1%,1.9,3.2,5.1,1.2,2.0,0.0,3.0,2.0,/profile/John-Eubanks-36101/,/stats/italian/2003/Reggio%20Calabria,2003,italian,John-Eubanks-36101,Reggio%20Calabria
Rodney Monroe,Roseto,27,27.7,23.7,5.0,9.8,51.4%,3.1,8.0,38.4%,4.4,4.9,89.9%,0.9,3.8,4.7,1.9,1.8,0.1,2.6,3.1,/profile/Rodney-Monroe-3642/,/stats/italian/2003/Roseto,2003,italian,Rodney-Monroe-3642,Roseto
Boris Gorenc,Varese,40,36.4,23.4,6.5,10.7,60.6%,1.5,3.9,38.0%,5.9,8.3,70.9%,1.8,3.2,5.1,2.3,3.1,0.1,3.6,3.1,/profile/Boris-Gorenc-35773/,/stats/italian/2003/Varese,2003,italian,Boris-Gorenc-35773,Varese
Robert Conley,Livorno,22,30.1,22.8,6.0,11.2,54.0%,2.2,6.2,36.5%,4.0,6.0,66.3%,1.9,4.3,6.2,1.4,3.4,0.1,3.5,3.9,/profile/Robert-Conley-5475/,/stats/italian/2003/Livorno,2003,italian,Robert-Conley-5475,Livorno
Petar Naumoski,Milano,31,32.2,22.7,3.8,6.9,55.4%,3.0,6.7,45.1%,6.0,7.1,85.0%,0.6,1.9,2.5,4.5,2.0,0.0,3.6,2.3,/profile/Petar-Naumoski-35581/,/stats/italian/2003/Milano,2003,italian,Petar-Naumoski-35581,Milano
Martin Rancik,Milano,34,26.7,22.4,8.5,15.2,55.9%,0.2,0.5,33.3%,4.8,6.4,74.8%,2.9,6.0,8.9,0.5,2.8,1.2,3.6,5.3,/profile/Martin-Rancik-36220/,/stats/italian/2003/Milano,2003,italian,Martin-Rancik-36220,Milano
Gianmarco Pozzecco,Fortitudo Bologna,44,20.9,22.2,4.4,8.3,53.4%,1.9,5.8,33.1%,7.6,8.8,86.2%,0.6,3.3,3.8,8.8,2.6,0.0,6.0,5.2,/profile/Gianmarco-Pozzecco-35980/,/stats/italian/2003/Fortitudo%20Bologna,2003,italian,Gianmarco-Pozzecco-35980,Fortitudo%20Bologna
