RSCI_Rank,Player,Draft_Pick,Draft_Year,NBA_EWA,Player_Link,Rank_Year,DX_Player_ID
1,"			
												Al Harrington
											","
													25
											"," 
												1998
											",2.65,/profile/Al-Harrington-2734/,1998,Al-Harrington-2734
2,"			
												Rashard Lewis
											","
													32
											"," 
												1998
											",5.85,/profile/Rashard-Lewis-3314/,1998,Rashard-Lewis-3314
3,"			
												Korleone Young
											","
													40
											"," 
												1998
											",0.15,/profile/Korleone-Young-5007/,1998,Korleone-Young-5007
4,"			
												Dan Gadzuric
											","
													33
											"," 
												2002
											",1.30,/profile/Dan-Gadzuric-2495/,1998,Dan-Gadzuric-2495
5,"			
												Stromile Swift
											","
													2
											"," 
												2000
											",2.57,/profile/Stromile-Swift-4529/,1998,Stromile-Swift-4529
6,"			
												Ronald Curry
											","
											"," 
											",-,/profile/Ronald-Curry-53438/,1998,Ronald-Curry-53438
7,"			
												JaRon Rush
											","
											"," 
											",-,/profile/JaRon-Rush-36070/,1998,JaRon-Rush-36070
8,"			
												Joel Przybilla
											","
													9
											"," 
												2000
											",0.52,/profile/Joel-Przybilla-4001/,1998,Joel-Przybilla-4001
9,"			
												Quentin Richardson
											","
													18
											"," 
												2000
											",1.61,/profile/Quentin-Richardson-4085/,1998,Quentin-Richardson-4085
10,"			
												Jason Capel
											","
											"," 
											",-,/profile/Jason-Capel-34411/,1998,Jason-Capel-34411
11,"			
												Vincent Yarbrough
											","
													32
											"," 
												2002
											",-0.90,/profile/Vincent-Yarbrough-5000/,1998,Vincent-Yarbrough-5000
12,"			
												Tayshaun Prince
											","
													23
											"," 
												2002
											",2.70,/profile/Tayshaun-Prince-3997/,1998,Tayshaun-Prince-3997
12,"			
												Erick Barkley
											","
													28
											"," 
												2000
											",-0.06,/profile/Erick-Barkley-1587/,1998,Erick-Barkley-1587
14,"			
												Mike Miller
											","
													5
											"," 
												2000
											",2.69,/profile/Mike-Miller-3607/,1998,Mike-Miller-3607
15,"			
												Dane Fife
											","
											"," 
											",-,/profile/Dane-Fife-34753/,1998,Dane-Fife-34753
15,"			
												Kevin Lyde
											","
											"," 
											",-,/profile/Kevin-Lyde-34046/,1998,Kevin-Lyde-34046
17,"			
												Ray Young
											","
											"," 
											",-,/profile/Ray-Young-32343/,1998,Ray-Young-32343
17,"			
												Corey Maggette
											","
													13
											"," 
												1999
											",5.86,/profile/Corey-Maggette-3394/,1998,Corey-Maggette-3394
19,"			
												Cory Hightower
											","
													54
											"," 
												2000
											",-,/profile/Cory-Hightower-5302/,1998,Cory-Hightower-5302
20,"			
												Keyon Dooling
											","
													10
											"," 
												2000
											",0.38,/profile/Keyon-Dooling-2255/,1998,Keyon-Dooling-2255
21,"			
												Teddy Dupay
											","
											"," 
											",-,/profile/Teddy-Dupay-37088/,1998,Teddy-Dupay-37088
22,"			
												Frank Williams
											","
													25
											"," 
												2002
											",-0.26,/profile/Frank-Williams-4924/,1998,Frank-Williams-4924
23,"			
												Kris Lang
											","
											"," 
											",-,/profile/Kris-Lang-5126/,1998,Kris-Lang-5126
24,"			
												Dion Glover
											","
													20
											"," 
												1999
											",0.86,/profile/Dion-Glover-2571/,1998,Dion-Glover-2571
25,"			
												Lance Williams
											","
											"," 
											",-,/profile/Lance-Williams-34985/,1998,Lance-Williams-34985
26,"			
												Adam Harrington
											","
											"," 
											",-0.09,/profile/Adam-Harrington-2736/,1998,Adam-Harrington-2736
27,"			
												Bobby Simmons
											","
													41
											"," 
												2001
											",1.22,/profile/Bobby-Simmons-4340/,1998,Bobby-Simmons-4340
28,"			
												Daniel Miller
											","
											"," 
											",-,/profile/Daniel-Miller-37799/,1998,Daniel-Miller-37799
29,"			
												Lloyd Price
											","
											"," 
											",-,/profile/Lloyd-Price-53684/,1998,Lloyd-Price-53684
30,"			
												Michael Wright
											","
													38
											"," 
												2001
											",-,/profile/Michael-Wright-5303/,1998,Michael-Wright-5303
31,"			
												Jules Camara
											","
											"," 
											",-,/profile/Jules-Camara-33107/,1998,Jules-Camara-33107
32,"			
												Antonio Latimer
											","
											"," 
											",-,/profile/Antonio-Latimer-49333/,1998,Antonio-Latimer-49333
33,"			
												Robert Jackson
											","
											"," 
											",-,/profile/Robert-Jackson-33003/,1998,Robert-Jackson-33003
33,"			
												Richard Jefferson
											","
													13
											"," 
												2001
											",3.61,/profile/Richard-Jefferson-2978/,1998,Richard-Jefferson-2978
35,"			
												B.B. Waldon
											","
											"," 
											",-,/profile/B.B.-Waldon-34137/,1998,B.B.-Waldon-34137
36,"			
												Doug Wrenn
											","
											"," 
											",-,/profile/Doug-Wrenn-32249/,1998,Doug-Wrenn-32249
37,"			
												Ronald Blackshear
											","
											"," 
											",-,/profile/Ronald-Blackshear-33001/,1998,Ronald-Blackshear-33001
37,"			
												Rasual Butler
											","
													52
											"," 
												2002
											",-0.14,/profile/Rasual-Butler-1895/,1998,Rasual-Butler-1895
39,"			
												Tony Bland
											","
											"," 
											",-,/profile/Tony-Bland-32601/,1998,Tony-Bland-32601
40,"			
												Jeff Boschee
											","
											"," 
											",-,/profile/Jeff-Boschee-34696/,1998,Jeff-Boschee-34696
41,"			
												Travis Robinson
											","
											"," 
											",-,/profile/Travis-Robinson-34708/,1998,Travis-Robinson-34708
42,"			
												Tony Kitchings
											","
											"," 
											",-,/profile/Tony-Kitchings-32546/,1998,Tony-Kitchings-32546
43,"			
												Paris London
											","
											"," 
											",-,/profile/Paris-London-33714/,1998,Paris-London-33714
43,"			
												Ruben Douglas
											","
											"," 
											",-,/profile/Ruben-Douglas-5377/,1998,Ruben-Douglas-5377
45,"			
												Joey Range
											","
											"," 
											",-,/profile/Joey-Range-53440/,1998,Joey-Range-53440
46,"			
												Troy Murphy
											","
													14
											"," 
												2001
											",3.22,/profile/Troy-Murphy-3696/,1998,Troy-Murphy-3696
46,"			
												Fred Primus
											","
											"," 
											",-,/profile/Fred-Primus-34956/,1998,Fred-Primus-34956
48,"			
												Jose Winston
											","
											"," 
											",-,/profile/Jose-Winston-32199/,1998,Jose-Winston-32199
49,"			
												Sam Clancy
											","
													44
											"," 
												2002
											",-,/profile/Sam-Clancy-5292/,1998,Sam-Clancy-5292
50,"			
												Brandon Dean
											","
											"," 
											",-,/profile/Brandon-Dean-35237/,1998,Brandon-Dean-35237
51,"			
												Eugene Land
											","
											"," 
											",-,/profile/Eugene-Land-33521/,1998,Eugene-Land-33521
52,"			
												Chris Richardson
											","
											"," 
											",-,/profile/Chris-Richardson-33916/,1998,Chris-Richardson-33916
53,"			
												LaDarius Halton
											","
											"," 
											",-,/profile/LaDarius-Halton-34886/,1998,LaDarius-Halton-34886
54,"			
												Fred Jones
											","
													14
											"," 
												2002
											",0.33,/profile/Fred-Jones-3076/,1998,Fred-Jones-3076
54,"			
												Matt Barnes
											","
													45
											"," 
												2002
											",1.30,/profile/Matt-Barnes-1592/,1998,Matt-Barnes-1592
56,"			
												Tony Akins
											","
											"," 
											",-,/profile/Tony-Akins-5595/,1998,Tony-Akins-5595
57,"			
												Broderick Hicks
											","
											"," 
											",-,/profile/Broderick-Hicks-33850/,1998,Broderick-Hicks-33850
58,"			
												Darius Songaila
											","
													49
											"," 
												2002
											",1.43,/profile/Darius-Songaila-4435/,1998,Darius-Songaila-4435
59,"			
												Kevin Braswell
											","
											"," 
											",-,/profile/Kevin-Braswell-34859/,1998,Kevin-Braswell-34859
60,"			
												DeAngelo McDaniel
											","
											"," 
											",-,/profile/DeAngelo-McDaniel-53441/,1998,DeAngelo-McDaniel-53441
61,"			
												Desmond Allison
											","
											"," 
											",-,/profile/Desmond-Allison-53442/,1998,Desmond-Allison-53442
62,"			
												Clarence Gilbert
											","
											"," 
											",-,/profile/Clarence-Gilbert-34518/,1998,Clarence-Gilbert-34518
63,"			
												D.A. Layne
											","
											"," 
											",-,/profile/D.A.-Layne-44450/,1998,D.A.-Layne-44450
64,"			
												Keith Bean
											","
											"," 
											",-,/profile/Keith-Bean-32427/,1998,Keith-Bean-32427
64,"			
												Bobby Smith
											","
											"," 
											",-,/profile/Bobby-Smith-75373/,1998,Bobby-Smith-75373
66,"			
												Jerome Moiso
											","
													11
											"," 
												2000
											",0.14,/profile/Jerome-Moiso-3635/,1998,Jerome-Moiso-3635
67,"			
												Ernest Brown
											","
													52
											"," 
												2000
											",-0.22,/profile/Ernest-Brown-1820/,1998,Ernest-Brown-1820
68,"			
												Cedric Taylor
											","
											"," 
											",-,/profile/Cedric-Taylor-53443/,1998,Cedric-Taylor-53443
68,"			
												Rick Anderson
											","
											"," 
											",-,/profile/Rick-Anderson-33715/,1998,Rick-Anderson-33715
70,"			
												Schea Cotton
											","
											"," 
											",-,/profile/Schea-Cotton-53444/,1998,Schea-Cotton-53444
71,"			
												Louis Truscott
											","
											"," 
											",-,/profile/Louis-Truscott-33223/,1998,Louis-Truscott-33223
72,"			
												Craig Dawson
											","
											"," 
											",-,/profile/Craig-Dawson-33852/,1998,Craig-Dawson-33852
73,"			
												Luke Walton
											","
													32
											"," 
												2003
											",0.38,/profile/Luke-Walton-4760/,1998,Luke-Walton-4760
74,"			
												Desmond Herod
											","
											"," 
											",-,/profile/Desmond-Herod-32565/,1998,Desmond-Herod-32565
74,"			
												Udonis Haslem
											","
											"," 
											",1.67,/profile/Udonis-Haslem-2754/,1998,Udonis-Haslem-2754
76,"			
												Scott Clark
											","
											"," 
											",-,/profile/Scott-Clark-53445/,1998,Scott-Clark-53445
77,"			
												Antwan Scott
											","
											"," 
											",-,/profile/Antwan-Scott-33851/,1998,Antwan-Scott-33851
78,"			
												J.R. VanHoose
											","
											"," 
											",-,/profile/J.R.-VanHoose-34594/,1998,J.R.-VanHoose-34594
79,"			
												David Hamilton
											","
											"," 
											",-,/profile/David-Hamilton-53446/,1998,David-Hamilton-53446
80,"			
												Lonny Baxter
											","
													43
											"," 
												2002
											",0.11,/profile/Lonny-Baxter-1626/,1998,Lonny-Baxter-1626
81,"			
												Kueth Duany
											","
											"," 
											",-,/profile/Kueth-Duany-32472/,1998,Kueth-Duany-32472
82,"			
												Traves Wilson
											","
											"," 
											",-,/profile/Traves-Wilson-53447/,1998,Traves-Wilson-53447
82,"			
												John Salmons
											","
													26
											"," 
												2002
											",0.94,/profile/John-Salmons-4214/,1998,John-Salmons-4214
82,"			
												Steve Bynes
											","
											"," 
											",-,/profile/Steve-Bynes-53448/,1998,Steve-Bynes-53448
85,"			
												Ajou Deng
											","
											"," 
											",-,/profile/Ajou-Deng-33360/,1998,Ajou-Deng-33360
86,"			
												Tyrus Boswell
											","
											"," 
											",-,/profile/Tyrus-Boswell-53449/,1998,Tyrus-Boswell-53449
87,"			
												Chris Jefferies
											","
													27
											"," 
												2002
											",-0.53,/profile/Chris-Jefferies-2977/,1998,Chris-Jefferies-2977
88,"			
												Marqus Ledoux
											","
											"," 
											",-,/profile/Marqus-Ledoux-32367/,1998,Marqus-Ledoux-32367
88,"			
												David Graves
											","
											"," 
											",-,/profile/David-Graves-34359/,1998,David-Graves-34359
90,"			
												Damon Hancock
											","
											"," 
											",-,/profile/Damon-Hancock-34116/,1998,Damon-Hancock-34116
91,"			
												Dahntay Jones
											","
													20
											"," 
												2003
											",-0.46,/profile/Dahntay-Jones-3078/,1998,Dahntay-Jones-3078
92,"			
												Dennis Gates
											","
											"," 
											",-,/profile/Dennis-Gates-35128/,1998,Dennis-Gates-35128
93,"			
												Mack McGadney
											","
											"," 
											",-,/profile/Mack-McGadney-35225/,1998,Mack-McGadney-35225
94,"			
												Jermaine Williams
											","
											"," 
											",-,/profile/Jermaine-Williams-34616/,1998,Jermaine-Williams-34616
95,"			
												Kyle Hornsby
											","
											"," 
											",-,/profile/Kyle-Hornsby-33176/,1998,Kyle-Hornsby-33176
96,"			
												Donte Smith
											","
											"," 
											",-,/profile/Donte-Smith-33595/,1998,Donte-Smith-33595
97,"			
												Dennis Nathan
											","
											"," 
											",-,/profile/Dennis-Nathan-53450/,1998,Dennis-Nathan-53450
98,"			
												Sam Haginas
											","
											"," 
											",-,/profile/Sam-Haginas-36410/,1998,Sam-Haginas-36410
98,"			
												Aaron Matthews
											","
											"," 
											",-,/profile/Aaron-Matthews-31606/,1998,Aaron-Matthews-31606
100,"			
												Brian Brown
											","
											"," 
											",-,/profile/Brian-Brown-34349/,1998,Brian-Brown-34349
101,"			
												Harold Swanagan
											","
											"," 
											",-,/profile/Harold-Swanagan-34358/,1998,Harold-Swanagan-34358
102,"			
												Vohn Hunter
											","
											"," 
											",-,/profile/Vohn-Hunter-34991/,1998,Vohn-Hunter-34991
103,"			
												Jermaine Clark
											","
											"," 
											",-,/profile/Jermaine-Clark-54591/,1998,Jermaine-Clark-54591
104,"			
												Michael Wilder
											","
											"," 
											",-,/profile/Michael-Wilder-33057/,1998,Michael-Wilder-33057
104,"			
												Issac Kincaid
											","
											"," 
											",-,/profile/Issac-Kincaid-53452/,1998,Issac-Kincaid-53452
104,"			
												Carlton Carter
											","
											"," 
											",-,/profile/Carlton-Carter-33865/,1998,Carlton-Carter-33865
