Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Shawn Bradley
						
					",1993,2,"7'5 ½""",-,"7'5""",-,-,-,-,-,248,-,-,-,-,-,-,/profile/Shawn-Bradley-1773/,Shawn-Bradley-1773
"
						
							Michael Fusek
						
					",2016,-,"7'3 ¾""","7'4 ¾""","7'5""","9'8""","31""","12'3""","25""","11'9""",222,-,-,-,-,12.94,3.54,/profile/Michael-Fusek-69117/,Michael-Fusek-69117
"
						
							Pavel Podkolzine
						
					",2003,21,"7'3 ½""","7'5""","7'5 ¾""","9'8""","22.5""","11'6 ½""","19.5""","11'3 ½""",303,16.3,-,-,5,13.4,3.8,/profile/Pavel-Podkolzine-3963/,Pavel-Podkolzine-3963
"
						
							Samuel Deguara
						
					",2011,-,"7'3 ¼""","7'4 ½""","7'5 ¾""","9'3 ¼""","24.2""","11'3 ½""","17.6""","10'9""",300,7.5,-,-,-,-,4.21,/profile/Samuel-Deguara-1400/,Samuel-Deguara-1400
"
						
							Zydrunas Ilgauskas
						
					",1996,20,"7'3""",-,-,-,-,-,-,-,258,-,-,-,-,-,-,/profile/Zydrunas-Ilgauskas-2919/,Zydrunas-Ilgauskas-2919
"
						
							Youssoufa Fall
						
					",2016,-,"7'2 ¾""","7'3 ¾""","7'6 ½""","9'9""",-,-,-,-,275,-,-,-,-,-,-,/profile/Youssoufa-Fall-79277/,Youssoufa-Fall-79277
"
						
							Constantin Popa
						
					",1995,53,"7'2 ½""",-,-,-,-,-,-,-,217,-,-,-,-,-,-,/profile/Constantin-Popa-42796/,Constantin-Popa-42796
"
						
							Alex Radojevic
						
					",1999,12,"7'2 ½""",-,"7'1 ½""",-,-,-,-,-,242,-,-,-,-,-,-,/profile/Alex-Radojevic-4014/,Alex-Radojevic-4014
"
						
							Nemanja Besovic
						
					",2013,-,"7'2 ½""","7'4""","7'1""","9'5 ½""","20""","11'1 ½""","15.5""","10'9""",258,-,-,-,-,13.71,4.05,/profile/Nemanja-Besovic-5890/,Nemanja-Besovic-5890
"
						
							Boban Marjanovic
						
					",2009,-,"7'2 ¼""","7'3""","7'8""","9'7""","23""","11'6""","19""","11'2""",293,-,-,-,-,-,4.48,/profile/Boban-Marjanovic-1297/,Boban-Marjanovic-1297
